run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,avoidable_retries,completion_tokens,exact_match,hallucinated_tool_rate,latency_ms,malformed_call_rate,prompt_tokens,steps_taken,success
20260409T065418Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,mlx,False,,,,,1.0,0,12,1.0,0.0,15681,0.0,19,0,1.0
20260409T065419Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,mlx,False,,,,,0.0,0,48,0.0,0.0,945,0.0,30,0,0.0
20260409T065420Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,mlx,False,,,,,0.0,0,48,0.0,0.0,914,0.0,28,0,0.0
20260409T065421Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,mlx,False,,,,,0.0,0,48,0.0,0.0,1159,0.0,25,0,0.0
20260409T065422Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,mlx,False,,,,,0.0,0,48,0.0,0.0,995,0.0,17,0,0.0
20260409T065424Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,mlx,False,,,,,1.0,0,48,1.0,0.0,2086,0.0,301,0,1.0
20260409T065426Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,mlx,False,,,,,1.0,0,48,1.0,0.0,1995,0.0,298,0,1.0
20260409T065428Z_monolith_think_008_schedule_choice_think_008_schedule_choice_clean,think_008_schedule_choice,think_008_schedule_choice_clean,thinking,monolith,mlx,False,,,,,1.0,0,48,1.0,0.0,1153,0.0,33,0,1.0
20260409T065428Z_monolith_think_009_budget_summary_think_009_budget_summary_clean,think_009_budget_summary,think_009_budget_summary_clean,thinking,monolith,mlx,False,,,,,0.0,0,16,0.0,0.0,456,0.0,19,0,0.0
20260409T065429Z_monolith_think_010_repo_reasoning_think_010_repo_reasoning_clean,think_010_repo_reasoning,think_010_repo_reasoning_clean,thinking,monolith,mlx,False,,,,,0.0,0,48,0.0,0.0,1131,0.0,30,0,0.0
