run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,arg_exact,avoidable_retries,completion_tokens,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,prompt_tokens,recovery_correct,steps_taken,success,tool_exact
20260409T065436Z_monolith_tool_001_calendar_search_tool_001_calendar_search_clean,tool_001_calendar_search,tool_001_calendar_search_clean,tool_routing,monolith,mlx,False,,,,,0.0,0,73,0.0,0.0,7223,0.0,139,0.0,0,0.0,0.0
20260409T065438Z_monolith_tool_002_create_event_tool_002_create_event_clean,tool_002_create_event,tool_002_create_event_clean,tool_routing,monolith,mlx,False,,,,,0.0,1,83,1.0,0.0,2007,1.0,158,0.0,1,0.0,0.0
20260409T065441Z_monolith_tool_003_repo_lookup_tool_003_repo_lookup_clean,tool_003_repo_lookup,tool_003_repo_lookup_clean,tool_routing,monolith,mlx,False,,,,,0.0,0,96,0.0,0.0,2250,0.0,143,0.0,0,0.0,0.0
20260409T065443Z_monolith_tool_004_repo_read_tool_004_repo_read_clean,tool_004_repo_read,tool_004_repo_read_clean,tool_routing,monolith,mlx,False,,,,,0.0,1,72,1.0,0.0,1831,1.0,170,0.0,1,0.0,0.0
20260409T065444Z_monolith_tool_005_image_inspection_tool_005_image_inspection_clean,tool_005_image_inspection,tool_005_image_inspection_clean,tool_routing,monolith,mlx,False,,,,,0.0,0,47,0.0,0.0,1383,0.0,149,0.0,0,0.0,0.0
20260409T065445Z_monolith_tool_006_budget_compare_call_tool_006_budget_compare_call_clean,tool_006_budget_compare_call,tool_006_budget_compare_call_clean,tool_routing,monolith,mlx,False,,,,,0.0,0,45,0.0,0.0,1332,0.0,141,0.0,0,0.0,0.0
20260409T065447Z_monolith_tool_007_event_update_tool_007_event_update_clean,tool_007_event_update,tool_007_event_update_clean,tool_routing,monolith,mlx,False,,,,,0.0,1,78,1.0,0.0,1957,1.0,160,0.0,1,0.0,0.0
20260409T065450Z_monolith_tool_008_patch_record_tool_008_patch_record_clean,tool_008_patch_record,tool_008_patch_record_clean,tool_routing,monolith,mlx,False,,,,,0.0,1,91,1.0,0.0,2438,1.0,172,0.0,1,0.0,0.0
20260409T065451Z_monolith_tool_009_parallel_context_check_tool_009_parallel_context_check_clean,tool_009_parallel_context_check,tool_009_parallel_context_check_clean,tool_routing,monolith,mlx,False,,,,,0.0,0,49,0.0,0.0,1404,0.0,153,0.0,0,0.0,0.0
20260409T065453Z_monolith_tool_010_validator_ready_tool_010_validator_ready_clean,tool_010_validator_ready,tool_010_validator_ready_clean,tool_routing,monolith,mlx,False,,,,,0.0,1,82,1.0,0.0,2109,1.0,160,0.0,1,0.0,0.0
