run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,arg_exact,avoidable_retries,completion_tokens,evidence_hit_rate,exact_match,final_state_match,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,mrr,ndcg,prompt_tokens,recall_at_k,recovery_correct,steps_taken,success,token_budget_used,tool_exact
20260409T070200Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,mlx,False,,,,,1.0,,0,12,,1.0,,0.0,,14390,0.0,,,19,,,0,1.0,,
20260409T070201Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,mlx,False,,,,,0.0,,0,48,,0.0,,0.0,,890,0.0,,,30,,,0,0.0,,
20260409T070202Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,mlx,False,,,,,0.0,,0,48,,0.0,,0.0,,1202,0.0,,,28,,,0,0.0,,
20260409T070203Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,mlx,False,,,,,0.0,,0,48,,0.0,,0.0,,983,0.0,,,25,,,0,0.0,,
20260409T070204Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,mlx,False,,,,,0.0,,0,48,,0.0,,0.0,,998,0.0,,,17,,,0,0.0,,
20260409T070206Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,mlx,False,,,,,1.0,,0,48,,1.0,,0.0,,2028,0.0,,,301,,,0,1.0,,
20260409T070208Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,mlx,False,,,,,1.0,,0,48,,1.0,,0.0,,2020,0.0,,,298,,,0,1.0,,
20260409T070209Z_monolith_think_008_schedule_choice_think_008_schedule_choice_clean,think_008_schedule_choice,think_008_schedule_choice_clean,thinking,monolith,mlx,False,,,,,1.0,,0,48,,1.0,,0.0,,1225,0.0,,,33,,,0,1.0,,
20260409T070210Z_monolith_think_009_budget_summary_think_009_budget_summary_clean,think_009_budget_summary,think_009_budget_summary_clean,thinking,monolith,mlx,False,,,,,0.0,,0,16,,0.0,,0.0,,432,0.0,,,19,,,0,0.0,,
20260409T070211Z_monolith_think_010_repo_reasoning_think_010_repo_reasoning_clean,think_010_repo_reasoning,think_010_repo_reasoning_clean,thinking,monolith,mlx,False,,,,,0.0,,0,48,,0.0,,0.0,,1032,0.0,,,30,,,0,0.0,,
20260409T070227Z_monolith_tool_001_calendar_search_tool_001_calendar_search_clean,tool_001_calendar_search,tool_001_calendar_search_clean,tool_routing,monolith,mlx,False,,,,,,0.0,0,73,,,,0.0,0.0,14314,0.0,,,139,,0.0,0,0.0,,0.0
20260409T070230Z_monolith_tool_002_create_event_tool_002_create_event_clean,tool_002_create_event,tool_002_create_event_clean,tool_routing,monolith,mlx,False,,,,,,0.0,1,83,,,,1.0,0.0,2284,1.0,,,158,,0.0,1,0.0,,0.0
20260409T070232Z_monolith_tool_003_repo_lookup_tool_003_repo_lookup_clean,tool_003_repo_lookup,tool_003_repo_lookup_clean,tool_routing,monolith,mlx,False,,,,,,0.0,0,96,,,,0.0,0.0,2155,0.0,,,143,,0.0,0,0.0,,0.0
20260409T070234Z_monolith_tool_004_repo_read_tool_004_repo_read_clean,tool_004_repo_read,tool_004_repo_read_clean,tool_routing,monolith,mlx,False,,,,,,0.0,1,72,,,,1.0,0.0,1863,1.0,,,170,,0.0,1,0.0,,0.0
20260409T070235Z_monolith_tool_005_image_inspection_tool_005_image_inspection_clean,tool_005_image_inspection,tool_005_image_inspection_clean,tool_routing,monolith,mlx,False,,,,,,0.0,0,47,,,,0.0,0.0,1325,0.0,,,149,,0.0,0,0.0,,0.0
20260409T070236Z_monolith_tool_006_budget_compare_call_tool_006_budget_compare_call_clean,tool_006_budget_compare_call,tool_006_budget_compare_call_clean,tool_routing,monolith,mlx,False,,,,,,0.0,0,45,,,,0.0,0.0,1239,0.0,,,141,,0.0,0,0.0,,0.0
20260409T070238Z_monolith_tool_007_event_update_tool_007_event_update_clean,tool_007_event_update,tool_007_event_update_clean,tool_routing,monolith,mlx,False,,,,,,0.0,1,78,,,,1.0,0.0,2011,1.0,,,160,,0.0,1,0.0,,0.0
20260409T070241Z_monolith_tool_008_patch_record_tool_008_patch_record_clean,tool_008_patch_record,tool_008_patch_record_clean,tool_routing,monolith,mlx,False,,,,,,0.0,1,91,,,,1.0,0.0,2600,1.0,,,172,,0.0,1,0.0,,0.0
20260409T070242Z_monolith_tool_009_parallel_context_check_tool_009_parallel_context_check_clean,tool_009_parallel_context_check,tool_009_parallel_context_check_clean,tool_routing,monolith,mlx,False,,,,,,0.0,0,49,,,,0.0,0.0,1427,0.0,,,153,,0.0,0,0.0,,0.0
