run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,avoidable_retries,completion_tokens,evidence_hit_rate,hallucinated_tool_rate,latency_ms,malformed_call_rate,mrr,ndcg,prompt_tokens,recall_at_k,steps_taken,success,token_budget_used
20260409T070300Z_hybrid_retr_001_budget_delta_retr_001_budget_delta_clean,retr_001_budget_delta,retr_001_budget_delta_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,48,1.0,0.0,14180,0.0,1.0,1.0,74,1.0,0,1.0,2
20260409T070301Z_hybrid_retr_002_policy_conflict_retr_002_policy_conflict_clean,retr_002_policy_conflict,retr_002_policy_conflict_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,11,1.0,0.0,332,0.0,1.0,1.0,52,1.0,0,1.0,1
20260409T070302Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_clean,retr_003_incident_multimodal,retr_003_incident_multimodal_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,9,1.0,0.0,1487,0.0,1.0,1.0,351,1.0,0,1.0,2
20260409T070303Z_hybrid_retr_004_flag_lookup_retr_004_flag_lookup_clean,retr_004_flag_lookup,retr_004_flag_lookup_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,48,1.0,0.0,990,0.0,1.0,1.0,64,1.0,0,1.0,2
20260409T070304Z_hybrid_retr_005_revenue_conflict_retr_005_revenue_conflict_clean,retr_005_revenue_conflict,retr_005_revenue_conflict_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,13,1.0,0.0,434,0.0,1.0,1.0,87,1.0,0,1.0,3
20260409T070305Z_hybrid_retr_006_root_cause_retr_006_root_cause_clean,retr_006_root_cause,retr_006_root_cause_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,48,1.0,0.0,1276,0.0,1.0,1.0,85,1.0,0,1.0,3
20260409T070305Z_hybrid_retr_007_hiring_freeze_retr_007_hiring_freeze_clean,retr_007_hiring_freeze,retr_007_hiring_freeze_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,17,1.0,0.0,500,0.0,1.0,1.0,46,1.0,0,1.0,1
20260409T070308Z_hybrid_retr_008_billing_lock_retr_008_billing_lock_clean,retr_008_billing_lock,retr_008_billing_lock_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,42,1.0,0.0,2070,0.0,1.0,1.0,353,1.0,0,1.0,2
20260409T070308Z_hybrid_retr_009_report_synthesis_retr_009_report_synthesis_clean,retr_009_report_synthesis,retr_009_report_synthesis_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,13,1.0,0.0,469,0.0,1.0,1.0,78,1.0,0,1.0,2
20260409T070309Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_clean,retr_010_rollout_mode,retr_010_rollout_mode_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,48,1.0,0.0,1169,0.0,1.0,1.0,74,1.0,0,1.0,2
