run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,avoidable_retries,completion_tokens,controller_repair_count,evidence_hit_rate,hallucinated_tool_rate,latency_ms,malformed_call_rate,mrr,ndcg,prompt_tokens,recall_at_k,steps_taken,success,token_budget_used
20260409T074444Z_hybrid_retr_001_budget_delta_retr_001_budget_delta_clean,retr_001_budget_delta,retr_001_budget_delta_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,32,0,1.0,0.0,16220,0.0,1.0,1.0,197,1.0,0,1.0,2
20260409T074444Z_hybrid_retr_002_policy_conflict_retr_002_policy_conflict_clean,retr_002_policy_conflict,retr_002_policy_conflict_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,11,0,1.0,0.0,577,0.0,1.0,1.0,175,1.0,0,1.0,1
20260409T074446Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_clean,retr_003_incident_multimodal,retr_003_incident_multimodal_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,6,0,1.0,0.0,1605,0.0,1.0,1.0,474,1.0,0,1.0,2
20260409T074447Z_hybrid_retr_004_flag_lookup_retr_004_flag_lookup_clean,retr_004_flag_lookup,retr_004_flag_lookup_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,15,0,1.0,0.0,720,0.0,1.0,1.0,187,1.0,0,1.0,2
20260409T074448Z_hybrid_retr_005_revenue_conflict_retr_005_revenue_conflict_clean,retr_005_revenue_conflict,retr_005_revenue_conflict_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,35,0,1.0,0.0,1186,0.0,1.0,1.0,210,1.0,0,1.0,3
20260409T074448Z_hybrid_retr_006_root_cause_retr_006_root_cause_clean,retr_006_root_cause,retr_006_root_cause_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,16,0,1.0,0.0,730,0.0,1.0,1.0,208,1.0,0,1.0,3
20260409T074449Z_hybrid_retr_007_hiring_freeze_retr_007_hiring_freeze_clean,retr_007_hiring_freeze,retr_007_hiring_freeze_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,13,0,1.0,0.0,597,0.0,1.0,1.0,169,1.0,0,1.0,1
20260409T074451Z_hybrid_retr_008_billing_lock_retr_008_billing_lock_clean,retr_008_billing_lock,retr_008_billing_lock_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,3,0,1.0,0.0,1497,0.0,1.0,1.0,476,1.0,0,1.0,2
20260409T074451Z_hybrid_retr_009_report_synthesis_retr_009_report_synthesis_clean,retr_009_report_synthesis,retr_009_report_synthesis_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,10,0,1.0,0.0,587,0.0,1.0,1.0,201,1.0,0,1.0,2
20260409T074452Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_clean,retr_010_rollout_mode,retr_010_rollout_mode_clean,retrieval,hybrid,mlx,False,,,,,1.0,0,14,0,1.0,0.0,746,0.0,1.0,1.0,197,1.0,0,1.0,2
