run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,arg_exact,avoidable_retries,completion_tokens,controller_repair_count,evidence_hit_rate,exact_match,final_state_match,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,mrr,ndcg,prompt_tokens,recall_at_k,recovery_correct,steps_taken,success,token_budget_used,tool_exact
20260409T074802Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,mlx,False,,,,,1.0,,0,12,0,,1.0,,0.0,,19241,0.0,,,19,,,0,1.0,,
20260409T074804Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,mlx,False,,,,,0.0,,0,48,0,,0.0,,0.0,,1173,0.0,,,30,,,0,0.0,,
20260409T074804Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,mlx,False,,,,,1.0,,0,22,0,,1.0,,0.0,,689,0.0,,,88,,,0,1.0,,
20260409T074806Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,mlx,False,,,,,0.0,,0,48,0,,0.0,,0.0,,1346,0.0,,,25,,,0,0.0,,
20260409T074806Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,mlx,False,,,,,1.0,,0,12,0,,1.0,,0.0,,424,0.0,,,63,,,0,1.0,,
20260409T074808Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,mlx,False,,,,,1.0,,0,48,0,,1.0,,0.0,,2216,0.0,,,301,,,0,1.0,,
20260409T074811Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,mlx,False,,,,,1.0,,0,48,0,,1.0,,0.0,,2363,0.0,,,298,,,0,1.0,,
20260409T074812Z_monolith_think_008_schedule_choice_think_008_schedule_choice_clean,think_008_schedule_choice,think_008_schedule_choice_clean,thinking,monolith,mlx,False,,,,,1.0,,0,48,0,,1.0,,0.0,,1407,0.0,,,33,,,0,1.0,,
20260409T074813Z_monolith_think_009_budget_summary_think_009_budget_summary_clean,think_009_budget_summary,think_009_budget_summary_clean,thinking,monolith,mlx,False,,,,,1.0,,0,18,0,,1.0,,0.0,,719,0.0,,,56,,,0,1.0,,
20260409T074814Z_monolith_think_010_repo_reasoning_think_010_repo_reasoning_clean,think_010_repo_reasoning,think_010_repo_reasoning_clean,thinking,monolith,mlx,False,,,,,0.0,,0,48,0,,0.0,,0.0,,1525,0.0,,,30,,,0,0.0,,
20260409T074836Z_monolith_tool_001_calendar_search_tool_001_calendar_search_clean,tool_001_calendar_search,tool_001_calendar_search_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,83,1,,,,0.0,0.9999999999999999,19337,0.0,,,659,,1.0,1,1.0,,1.0
20260409T074840Z_monolith_tool_002_create_event_tool_002_create_event_clean,tool_002_create_event,tool_002_create_event_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,84,1,,,,0.0,0.9999999999999999,3238,0.0,,,788,,1.0,1,1.0,,1.0
20260409T074841Z_monolith_tool_003_repo_lookup_tool_003_repo_lookup_clean,tool_003_repo_lookup,tool_003_repo_lookup_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,36,1,,,,0.0,0.9999999999999999,1919,0.0,,,604,,1.0,1,1.0,,1.0
20260409T074843Z_monolith_tool_004_repo_read_tool_004_repo_read_clean,tool_004_repo_read,tool_004_repo_read_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,30,0,,,,0.0,0.9999999999999999,1738,0.0,,,630,,1.0,1,1.0,,1.0
20260409T074845Z_monolith_tool_005_image_inspection_tool_005_image_inspection_clean,tool_005_image_inspection,tool_005_image_inspection_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,40,1,,,,0.0,0.9999999999999999,2079,0.0,,,644,,1.0,1,1.0,,1.0
20260409T074848Z_monolith_tool_006_budget_compare_call_tool_006_budget_compare_call_clean,tool_006_budget_compare_call,tool_006_budget_compare_call_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,63,1,,,,0.0,0.9999999999999999,2768,0.0,,,678,,1.0,1,1.0,,1.0
20260409T074852Z_monolith_tool_007_event_update_tool_007_event_update_clean,tool_007_event_update,tool_007_event_update_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,85,1,,,,0.0,0.9999999999999999,3708,0.0,,,790,,1.0,1,1.0,,1.0
20260409T074854Z_monolith_tool_008_patch_record_tool_008_patch_record_clean,tool_008_patch_record,tool_008_patch_record_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,50,0,,,,0.0,0.9999999999999999,2647,0.0,,,652,,1.0,1,1.0,,1.0
20260409T074858Z_monolith_tool_009_parallel_context_check_tool_009_parallel_context_check_clean,tool_009_parallel_context_check,tool_009_parallel_context_check_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,69,1,,,,0.0,0.9999999999999999,3341,0.0,,,779,,1.0,2,1.0,,1.0
20260409T074902Z_monolith_tool_010_validator_ready_tool_010_validator_ready_clean,tool_010_validator_ready,tool_010_validator_ready_clean,tool_routing,monolith,mlx,False,,,,,,1.0,0,82,1,,,,0.0,0.9999999999999999,3914,0.0,,,790,,1.0,1,1.0,,1.0
20260409T074921Z_hybrid_retr_001_budget_delta_retr_001_budget_delta_clean,retr_001_budget_delta,retr_001_budget_delta_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,32,0,1.0,,,0.0,,16808,0.0,1.0,1.0,197,1.0,,0,1.0,2,
20260409T074922Z_hybrid_retr_002_policy_conflict_retr_002_policy_conflict_clean,retr_002_policy_conflict,retr_002_policy_conflict_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,11,0,1.0,,,0.0,,610,0.0,1.0,1.0,175,1.0,,0,1.0,1,
20260409T074923Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_clean,retr_003_incident_multimodal,retr_003_incident_multimodal_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,6,0,1.0,,,0.0,,1671,0.0,1.0,1.0,474,1.0,,0,1.0,2,
20260409T074924Z_hybrid_retr_004_flag_lookup_retr_004_flag_lookup_clean,retr_004_flag_lookup,retr_004_flag_lookup_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,15,0,1.0,,,0.0,,619,0.0,1.0,1.0,187,1.0,,0,1.0,2,
20260409T074925Z_hybrid_retr_005_revenue_conflict_retr_005_revenue_conflict_clean,retr_005_revenue_conflict,retr_005_revenue_conflict_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,35,0,1.0,,,0.0,,1057,0.0,1.0,1.0,210,1.0,,0,1.0,3,
20260409T074926Z_hybrid_retr_006_root_cause_retr_006_root_cause_clean,retr_006_root_cause,retr_006_root_cause_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,16,0,1.0,,,0.0,,806,0.0,1.0,1.0,208,1.0,,0,1.0,3,
20260409T074926Z_hybrid_retr_007_hiring_freeze_retr_007_hiring_freeze_clean,retr_007_hiring_freeze,retr_007_hiring_freeze_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,13,0,1.0,,,0.0,,679,0.0,1.0,1.0,169,1.0,,0,1.0,1,
20260409T074928Z_hybrid_retr_008_billing_lock_retr_008_billing_lock_clean,retr_008_billing_lock,retr_008_billing_lock_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,3,0,1.0,,,0.0,,1533,0.0,1.0,1.0,476,1.0,,0,1.0,2,
20260409T074929Z_hybrid_retr_009_report_synthesis_retr_009_report_synthesis_clean,retr_009_report_synthesis,retr_009_report_synthesis_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,10,0,1.0,,,0.0,,590,0.0,1.0,1.0,201,1.0,,0,1.0,2,
20260409T074929Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_clean,retr_010_rollout_mode,retr_010_rollout_mode_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,14,0,1.0,,,0.0,,667,0.0,1.0,1.0,197,1.0,,0,1.0,2,
20260409T074948Z_modular_agent_001_budget_compare_agent_001_budget_compare_clean,agent_001_budget_compare,agent_001_budget_compare_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,15,0,,,1.0,0.0,1.0,16778,0.0,,,330,,1.0,2,1.0,,1.0
20260409T074950Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_clean,agent_002_reschedule_sarah,agent_002_reschedule_sarah_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,64,0,,,1.0,0.0,1.0,2201,0.0,,,479,,1.0,2,1.0,,1.0
20260409T074952Z_modular_agent_003_screenshot_patch_agent_003_screenshot_patch_clean,agent_003_screenshot_patch,agent_003_screenshot_patch_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,25,0,,,1.0,0.0,1.0,1143,0.0,,,302,,1.0,2,1.0,,1.0
20260409T074953Z_modular_agent_004_repo_lookup_patch_agent_004_repo_lookup_patch_clean,agent_004_repo_lookup_patch,agent_004_repo_lookup_patch_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,45,0,,,1.0,0.0,1.0,1625,0.0,,,351,,1.0,3,1.0,,1.0
20260409T074955Z_modular_agent_005_search_then_create_agent_005_search_then_create_clean,agent_005_search_then_create,agent_005_search_then_create_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,47,0,,,1.0,0.0,1.0,1832,0.0,,,411,,1.0,2,1.0,,1.0
20260409T074956Z_modular_agent_006_ops_budget_compare_agent_006_ops_budget_compare_clean,agent_006_ops_budget_compare,agent_006_ops_budget_compare_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,15,0,,,1.0,0.0,1.0,957,0.0,,,339,,1.0,2,1.0,,1.0
20260409T074959Z_modular_agent_007_direct_repo_patch_agent_007_direct_repo_patch_clean,agent_007_direct_repo_patch,agent_007_direct_repo_patch_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,24,0,,,1.0,0.0,1.0,2797,0.0,,,296,,1.0,2,1.0,,1.0
20260409T075000Z_modular_agent_008_billing_screenshot_patch_agent_008_billing_screenshot_patch_clean,agent_008_billing_screenshot_patch,agent_008_billing_screenshot_patch_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,22,0,,,1.0,0.0,1.0,1612,0.0,,,293,,1.0,2,1.0,,1.0
20260409T075003Z_modular_agent_009_reschedule_vendor_agent_009_reschedule_vendor_clean,agent_009_reschedule_vendor,agent_009_reschedule_vendor_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,64,0,,,1.0,0.0,1.0,2818,0.0,,,479,,1.0,2,1.0,,1.0
20260409T075005Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_clean,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_clean,full_stack,modular,mlx,False,,,,,1.0,1.0,0,22,0,,,1.0,0.0,1.0,1381,0.0,,,366,,1.0,3,1.0,,1.0
20260409T075058Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,hf,False,,,,,1.0,,0,12,0,,1.0,,0.0,,51395,0.0,,,19,,,0,1.0,,
20260409T075116Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,hf,False,,,,,0.0,,0,64,0,,0.0,,0.0,,17296,0.0,,,30,,,0,0.0,,
20260409T075124Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,hf,False,,,,,1.0,,0,30,0,,1.0,,0.0,,8149,0.0,,,88,,,0,1.0,,
20260409T075139Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,hf,False,,,,,0.0,,0,64,0,,0.0,,0.0,,15698,0.0,,,25,,,0,0.0,,
20260409T075143Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,hf,False,,,,,1.0,,0,12,0,,1.0,,0.0,,3763,0.0,,,63,,,0,1.0,,
20260409T075205Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,hf,False,,,,,0.0,,0,64,0,,0.0,,0.0,,21736,0.0,,,301,,,0,0.0,,
20260409T075220Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,hf,False,,,,,1.0,,0,41,0,,1.0,,0.0,,14837,0.0,,,298,,,0,1.0,,
20260409T075232Z_monolith_think_008_schedule_choice_think_008_schedule_choice_clean,think_008_schedule_choice,think_008_schedule_choice_clean,thinking,monolith,hf,False,,,,,1.0,,0,48,0,,1.0,,0.0,,11845,0.0,,,33,,,0,1.0,,
20260409T075236Z_monolith_think_009_budget_summary_think_009_budget_summary_clean,think_009_budget_summary,think_009_budget_summary_clean,thinking,monolith,hf,False,,,,,1.0,,0,18,0,,1.0,,0.0,,4525,0.0,,,56,,,0,1.0,,
20260409T075251Z_monolith_think_010_repo_reasoning_think_010_repo_reasoning_clean,think_010_repo_reasoning,think_010_repo_reasoning_clean,thinking,monolith,hf,False,,,,,0.0,,0,64,0,,0.0,,0.0,,14354,0.0,,,30,,,0,0.0,,
20260409T081258Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,hf,True,,,,,1.0,,0,209,0,,1.0,,0.0,,112558,0.0,,,25,,,0,1.0,,
20260409T081354Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,hf,True,,,,,0.0,,0,256,0,,0.0,,0.0,,56118,0.0,,,36,,,0,0.0,,
20260409T081426Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,hf,True,,,,,0.0,,0,256,0,,0.0,,0.0,,31658,0.0,,,94,,,0,0.0,,
20260409T081455Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,hf,True,,,,,0.0,,0,256,0,,0.0,,0.0,,28957,0.0,,,31,,,0,0.0,,
20260409T081511Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,hf,True,,,,,1.0,,0,139,0,,1.0,,0.0,,15908,0.0,,,69,,,0,1.0,,
20260409T081550Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,hf,True,,,,,0.0,,0,256,0,,0.0,,0.0,,39085,0.0,,,307,,,0,0.0,,
20260409T081623Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,hf,True,,,,,0.0,,0,256,0,,0.0,,0.0,,33291,0.0,,,304,,,0,0.0,,
