run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,avoidable_retries,completion_tokens,controller_repair_count,exact_match,hallucinated_tool_rate,latency_ms,malformed_call_rate,prompt_tokens,steps_taken,success
20260409T091010Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,hf,True,,,,,none,1.0,0,138,0,1.0,0.0,58904,0.0,95,0,1.0
20260409T091059Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,hf,True,,,,,none,1.0,0,272,0,1.0,0.0,49120,0.0,106,0,1.0
20260409T091139Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,hf,True,,,,,none,1.0,0,218,0,1.0,0.0,40179,0.0,164,0,1.0
20260409T091215Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,hf,True,,,,,none,1.0,0,199,0,1.0,0.0,35288,0.0,101,0,1.0
20260409T091216Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,hf,True,,,,,none,1.0,0,3,0,1.0,0.0,1030,0.0,139,0,1.0
20260409T091256Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,hf,True,,,,,none,1.0,0,178,0,1.0,0.0,39980,0.0,423,0,1.0
20260409T091332Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,hf,True,,,,,none,1.0,0,184,0,1.0,0.0,36637,0.0,420,0,1.0
20260409T091357Z_monolith_think_008_schedule_choice_think_008_schedule_choice_clean,think_008_schedule_choice,think_008_schedule_choice_clean,thinking,monolith,hf,True,,,,,none,1.0,0,142,0,1.0,0.0,24953,0.0,109,0,1.0
20260409T091359Z_monolith_think_009_budget_summary_think_009_budget_summary_clean,think_009_budget_summary,think_009_budget_summary_clean,thinking,monolith,hf,True,,,,,none,1.0,0,8,0,1.0,0.0,1886,0.0,132,0,1.0
20260409T091445Z_monolith_think_010_repo_reasoning_think_010_repo_reasoning_clean,think_010_repo_reasoning,think_010_repo_reasoning_clean,thinking,monolith,hf,True,,,,,none,1.0,0,227,0,1.0,0.0,45735,0.0,106,0,1.0
