run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,avoidable_retries,completion_tokens,controller_repair_count,exact_match,hallucinated_tool_rate,latency_ms,malformed_call_rate,prompt_tokens,steps_taken,success
20260409T090626Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,3,0,1.0,0.0,17096,0.0,156,0,1.0
20260409T090626Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,5,0,1.0,0.0,436,0.0,167,0,1.0
20260409T090627Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,4,0,1.0,0.0,555,0.0,225,0,1.0
20260409T090627Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,7,0,1.0,0.0,491,0.0,162,0,1.0
20260409T090628Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,3,0,1.0,0.0,472,0.0,200,0,1.0
20260409T090629Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,mlx,False,,,,,"failed, answer_mismatch, image_grounding_miss",0.0,0,2,0,0.0,0.0,1646,0.0,484,0,0.0
20260409T090631Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,mlx,False,,,,,"failed, answer_mismatch, image_grounding_miss",0.0,0,2,0,0.0,0.0,1463,0.0,481,0,0.0
20260409T090631Z_monolith_think_008_schedule_choice_think_008_schedule_choice_clean,think_008_schedule_choice,think_008_schedule_choice_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,5,0,1.0,0.0,436,0.0,170,0,1.0
20260409T090632Z_monolith_think_009_budget_summary_think_009_budget_summary_clean,think_009_budget_summary,think_009_budget_summary_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,18,0,1.0,0.0,696,0.0,193,0,1.0
20260409T090632Z_monolith_think_010_repo_reasoning_think_010_repo_reasoning_clean,think_010_repo_reasoning,think_010_repo_reasoning_clean,thinking,monolith,mlx,False,,,,,none,1.0,0,6,0,1.0,0.0,427,0.0,167,0,1.0
