run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,arg_exact,avoidable_retries,completion_tokens,controller_repair_count,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,prompt_tokens,recovery_correct,steps_taken,success,tool_exact
20260409T091957Z_monolith_tool_001_calendar_search_tool_001_calendar_search_clean,tool_001_calendar_search,tool_001_calendar_search_clean,tool_routing,monolith,mlx,False,,,,,none,1.0,0,83,1,0.0,0.9999999999999999,19960,0.0,659,1.0,1,1.0,1.0
20260409T092000Z_monolith_tool_002_create_event_tool_002_create_event_clean,tool_002_create_event,tool_002_create_event_clean,tool_routing,monolith,mlx,False,,,,,none,1.0,0,84,1,0.0,0.9999999999999999,3174,0.0,788,1.0,1,1.0,1.0
20260409T092002Z_monolith_tool_003_repo_lookup_tool_003_repo_lookup_clean,tool_003_repo_lookup,tool_003_repo_lookup_clean,tool_routing,monolith,mlx,False,,,,,none,1.0,0,36,1,0.0,0.9999999999999999,1757,0.0,604,1.0,1,1.0,1.0
20260409T092004Z_monolith_tool_004_repo_read_tool_004_repo_read_clean,tool_004_repo_read,tool_004_repo_read_clean,tool_routing,monolith,mlx,False,,,,,none,1.0,0,30,0,0.0,0.9999999999999999,1756,0.0,630,1.0,1,1.0,1.0
20260409T092006Z_monolith_tool_005_image_inspection_tool_005_image_inspection_clean,tool_005_image_inspection,tool_005_image_inspection_clean,tool_routing,monolith,mlx,False,,,,,none,1.0,0,40,1,0.0,0.9999999999999999,1949,0.0,644,1.0,1,1.0,1.0
20260409T092008Z_monolith_tool_006_budget_compare_call_tool_006_budget_compare_call_clean,tool_006_budget_compare_call,tool_006_budget_compare_call_clean,tool_routing,monolith,mlx,False,,,,,none,1.0,0,63,1,0.0,0.9999999999999999,2456,0.0,678,1.0,1,1.0,1.0
20260409T092011Z_monolith_tool_007_event_update_tool_007_event_update_clean,tool_007_event_update,tool_007_event_update_clean,tool_routing,monolith,mlx,False,,,,,none,1.0,0,85,1,0.0,0.9999999999999999,3056,0.0,790,1.0,1,1.0,1.0
20260409T092014Z_monolith_tool_008_patch_record_tool_008_patch_record_clean,tool_008_patch_record,tool_008_patch_record_clean,tool_routing,monolith,mlx,False,,,,,none,1.0,0,50,0,0.0,0.9999999999999999,2097,0.0,652,1.0,1,1.0,1.0
20260409T092016Z_monolith_tool_009_parallel_context_check_tool_009_parallel_context_check_clean,tool_009_parallel_context_check,tool_009_parallel_context_check_clean,tool_routing,monolith,mlx,False,,,,,none,1.0,0,69,1,0.0,0.9999999999999999,2683,0.0,779,1.0,2,1.0,1.0
20260409T092019Z_monolith_tool_010_validator_ready_tool_010_validator_ready_clean,tool_010_validator_ready,tool_010_validator_ready_clean,tool_routing,monolith,mlx,False,,,,,none,1.0,0,82,1,0.0,0.9999999999999999,3009,0.0,790,1.0,1,1.0,1.0
