run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,arg_exact,avoidable_retries,completion_tokens,controller_repair_count,evidence_hit_rate,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,mrr,ndcg,prompt_tokens,recall_at_k,recovery_correct,steps_taken,success,token_budget_used,tool_exact
20260409T163300Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_clean,retr_003_incident_multimodal,retr_003_incident_multimodal_clean,retrieval,hybrid,hf,False,,,,,none,1.0,,0,3,0,1.0,0.0,,20197,0.0,0.5,0.6309297535714575,419,1.0,,0,1.0,2,
20260409T163304Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_language_fr,retr_003_incident_multimodal,retr_003_incident_multimodal_language_fr,retrieval,hybrid,hf,False,fr,,,,none,1.0,,0,3,0,1.0,0.0,,3619,0.0,0.5,0.6309297535714575,458,1.0,,0,1.0,2,
20260409T163311Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_context_long_history,retr_003_incident_multimodal,retr_003_incident_multimodal_context_long_history,retrieval,hybrid,hf,False,,,long_history,,none,1.0,,0,9,0,1.0,0.0,,6515,0.0,0.5,0.6309297535714575,455,1.0,,0,1.0,2,
20260409T163314Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_efficiency_top_k_3,retr_003_incident_multimodal,retr_003_incident_multimodal_efficiency_top_k_3,retrieval,hybrid,hf,False,,,,top_k_3,none,1.0,,0,3,0,1.0,0.0,,2919,0.0,0.5,0.6309297535714575,419,1.0,,0,1.0,2,
20260409T163317Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_clean,retr_010_rollout_mode,retr_010_rollout_mode_clean,retrieval,hybrid,hf,False,,,,,none,1.0,,0,11,0,1.0,0.0,,1610,0.0,1.0,1.0,142,1.0,,0,1.0,2,
20260409T163320Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_language_fr,retr_010_rollout_mode,retr_010_rollout_mode_language_fr,retrieval,hybrid,hf,False,fr,,,,none,1.0,,0,30,0,1.0,0.0,,2761,0.0,1.0,1.0,174,1.0,,0,1.0,2,
20260409T163321Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_context_long_history,retr_010_rollout_mode,retr_010_rollout_mode_context_long_history,retrieval,hybrid,hf,False,,,long_history,,none,1.0,,0,12,0,1.0,0.0,,1145,0.0,1.0,1.0,178,1.0,,0,1.0,2,
20260409T163322Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_efficiency_top_k_3,retr_010_rollout_mode,retr_010_rollout_mode_efficiency_top_k_3,retrieval,hybrid,hf,False,,,,top_k_3,none,1.0,,0,11,0,1.0,0.0,,1024,0.0,1.0,1.0,142,1.0,,0,1.0,2,
20260409T163624Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_clean,tool_009_parallel_context_check,tool_009_parallel_context_check_clean,tool_routing,modular,hf,False,,,,,none,,1.0,0,92,1,,0.0,0.9999999999999999,15270,0.0,,,630,,1.0,2,1.0,,1.0
20260409T163631Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_language_code_switch,tool_009_parallel_context_check,tool_009_parallel_context_check_language_code_switch,tool_routing,modular,hf,False,code_switch,,,,none,,1.0,0,89,1,,0.0,0.9999999999999999,6898,0.0,,,638,,1.0,2,1.0,,1.0
20260409T163640Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_schema_renamed_fields,tool_009_parallel_context_check,tool_009_parallel_context_check_schema_renamed_fields,tool_routing,modular,hf,False,,renamed_fields,,,"failed, malformed_call, arg_mismatch",,0.0,2,112,1,,0.0,0.37499999999999994,9273,1.0,,,628,,0.0,2,0.0,,1.0
20260409T163645Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_context_irrelevant_tool_output,tool_009_parallel_context_check,tool_009_parallel_context_check_context_irrelevant_tool_output,tool_routing,modular,hf,False,,,irrelevant_tool_output,,none,,1.0,0,66,1,,0.0,0.9999999999999999,4803,0.0,,,672,,1.0,2,1.0,,1.0
20260409T163654Z_modular_tool_010_validator_ready_tool_010_validator_ready_clean,tool_010_validator_ready,tool_010_validator_ready_clean,tool_routing,modular,hf,False,,,,,none,,1.0,0,106,1,,0.0,0.9999999999999999,8810,0.0,,,626,,1.0,1,1.0,,1.0
20260409T163701Z_modular_tool_010_validator_ready_tool_010_validator_ready_language_code_switch,tool_010_validator_ready,tool_010_validator_ready_language_code_switch,tool_routing,modular,hf,False,code_switch,,,,none,,1.0,0,109,1,,0.0,0.9999999999999999,7607,0.0,,,634,,1.0,1,1.0,,1.0
20260409T163706Z_modular_tool_010_validator_ready_tool_010_validator_ready_schema_renamed_fields,tool_010_validator_ready,tool_010_validator_ready_schema_renamed_fields,tool_routing,modular,hf,False,,renamed_fields,,,"failed, malformed_call, arg_mismatch",,0.0,1,71,1,,0.0,0.37499999999999994,4247,1.0,,,565,,0.0,1,0.0,,1.0
20260409T163711Z_modular_tool_010_validator_ready_tool_010_validator_ready_context_irrelevant_tool_output,tool_010_validator_ready,tool_010_validator_ready_context_irrelevant_tool_output,tool_routing,modular,hf,False,,,irrelevant_tool_output,,none,,1.0,0,97,1,,0.0,0.9999999999999999,5761,0.0,,,668,,1.0,1,1.0,,1.0
