run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,avoidable_retries,completion_tokens,controller_repair_count,evidence_hit_rate,hallucinated_tool_rate,latency_ms,malformed_call_rate,mrr,ndcg,prompt_tokens,recall_at_k,steps_taken,success,token_budget_used
20260409T170533Z_hybrid_retr_001_budget_delta_retr_001_budget_delta_clean,retr_001_budget_delta,retr_001_budget_delta_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,17,0,1.0,0.0,7798,0.0,1.0,1.0,142,1.0,0,1.0,2
20260409T170540Z_hybrid_retr_002_policy_conflict_retr_002_policy_conflict_clean,retr_002_policy_conflict,retr_002_policy_conflict_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,25,0,1.0,0.0,4850,0.0,1.0,1.0,159,1.0,0,1.0,3
20260409T170545Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_clean,retr_003_incident_multimodal,retr_003_incident_multimodal_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,3,0,1.0,0.0,4930,0.0,0.5,0.6309297535714575,419,1.0,0,1.0,2
20260409T170551Z_hybrid_retr_004_flag_lookup_retr_004_flag_lookup_clean,retr_004_flag_lookup,retr_004_flag_lookup_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,20,0,1.0,0.0,3807,0.0,1.0,1.0,132,1.0,0,1.0,2
20260409T170555Z_hybrid_retr_005_revenue_conflict_retr_005_revenue_conflict_clean,retr_005_revenue_conflict,retr_005_revenue_conflict_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,13,0,1.0,0.0,2640,0.0,1.0,1.0,155,1.0,0,1.0,3
20260409T170559Z_hybrid_retr_006_root_cause_retr_006_root_cause_clean,retr_006_root_cause,retr_006_root_cause_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,16,0,1.0,0.0,3349,0.0,1.0,1.0,153,1.0,0,1.0,3
20260409T170602Z_hybrid_retr_007_hiring_freeze_retr_007_hiring_freeze_clean,retr_007_hiring_freeze,retr_007_hiring_freeze_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,10,0,1.0,0.0,2283,0.0,1.0,1.0,128,1.0,0,1.0,2
20260409T170607Z_hybrid_retr_008_billing_lock_retr_008_billing_lock_clean,retr_008_billing_lock,retr_008_billing_lock_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,3,0,1.0,0.0,4352,0.0,1.0,1.0,421,1.0,0,1.0,2
20260409T170609Z_hybrid_retr_009_report_synthesis_retr_009_report_synthesis_clean,retr_009_report_synthesis,retr_009_report_synthesis_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,10,0,1.0,0.0,2066,0.0,1.0,1.0,146,1.0,0,1.0,2
20260409T170612Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_clean,retr_010_rollout_mode,retr_010_rollout_mode_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,12,0,1.0,0.0,2150,0.0,1.0,1.0,142,1.0,0,1.0,2
20260409T170615Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_clean,retr_011_approval_policy,retr_011_approval_policy_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,10,0,1.0,0.0,2533,0.0,1.0,1.0,165,1.0,0,1.0,3
20260409T170620Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_clean,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_clean,retrieval,hybrid,hf,False,,,,,none,1.0,0,3,0,1.0,0.0,4111,0.0,1.0,1.0,431,1.0,0,1.0,2
