run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,arg_exact,avoidable_retries,completion_tokens,controller_repair_count,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,prompt_tokens,recovery_correct,steps_taken,success,tool_exact
20260409T170938Z_modular_tool_001_calendar_search_tool_001_calendar_search_clean,tool_001_calendar_search,tool_001_calendar_search_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,99,1,0.0,0.9999999999999999,24766,0.0,495,1.0,1,1.0,1.0
20260409T171000Z_modular_tool_002_create_event_tool_002_create_event_clean,tool_002_create_event,tool_002_create_event_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,112,1,0.0,0.9999999999999999,21525,0.0,624,1.0,1,1.0,1.0
20260409T171016Z_modular_tool_003_repo_lookup_tool_003_repo_lookup_clean,tool_003_repo_lookup,tool_003_repo_lookup_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,64,1,0.0,0.9999999999999999,16035,0.0,440,1.0,1,1.0,1.0
20260409T171024Z_modular_tool_004_repo_read_tool_004_repo_read_clean,tool_004_repo_read,tool_004_repo_read_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,54,1,0.0,0.9999999999999999,8004,0.0,466,1.0,1,1.0,1.0
20260409T171037Z_modular_tool_005_image_inspection_tool_005_image_inspection_clean,tool_005_image_inspection,tool_005_image_inspection_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,72,1,0.0,0.9999999999999999,12769,0.0,495,1.0,1,1.0,1.0
20260409T171048Z_modular_tool_006_budget_compare_call_tool_006_budget_compare_call_clean,tool_006_budget_compare_call,tool_006_budget_compare_call_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,69,1,0.0,0.9999999999999999,11666,0.0,514,1.0,1,1.0,1.0
20260409T171105Z_modular_tool_007_event_update_tool_007_event_update_clean,tool_007_event_update,tool_007_event_update_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,100,1,0.0,0.9999999999999999,16406,0.0,626,1.0,1,1.0,1.0
20260409T171114Z_modular_tool_008_patch_record_tool_008_patch_record_clean,tool_008_patch_record,tool_008_patch_record_clean,tool_routing,modular,hf,False,,,,,"failed, wrong_tool, arg_mismatch",0.0,0,59,1,0.0,0.25,9646,0.0,475,1.0,1,0.0,0.0
20260409T171134Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_clean,tool_009_parallel_context_check,tool_009_parallel_context_check_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,86,1,0.0,0.9999999999999999,19349,0.0,630,1.0,2,1.0,1.0
20260409T171150Z_modular_tool_010_validator_ready_tool_010_validator_ready_clean,tool_010_validator_ready,tool_010_validator_ready_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,99,1,0.0,0.9999999999999999,16296,0.0,626,1.0,1,1.0,1.0
20260409T171155Z_modular_tool_011_latest_budget_lookup_tool_011_latest_budget_lookup_clean,tool_011_latest_budget_lookup,tool_011_latest_budget_lookup_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,72,1,0.0,0.9999999999999999,5189,0.0,505,1.0,1,1.0,1.0
20260409T171159Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_clean,tool_012_billing_patch_record,tool_012_billing_patch_record_clean,tool_routing,modular,hf,False,,,,,"failed, wrong_tool, arg_mismatch",0.0,0,59,1,0.0,0.25,3785,0.0,475,1.0,1,0.0,0.0
