run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,avoidable_retries,completion_tokens,controller_repair_count,exact_match,hallucinated_tool_rate,latency_ms,malformed_call_rate,prompt_tokens,steps_taken,success
20260409T170053Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,hf,True,,,,,none,1.0,0,137,0,1.0,0.0,14636,0.0,95,0,1.0
20260409T170129Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,hf,True,,,,,none,1.0,0,370,0,1.0,0.0,36473,0.0,106,0,1.0
20260409T170130Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,hf,True,,,,,none,1.0,0,4,0,1.0,0.0,702,0.0,164,0,1.0
20260409T170142Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,hf,True,,,,,none,1.0,0,147,0,1.0,0.0,11926,0.0,101,0,1.0
20260409T170153Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,hf,True,,,,,none,1.0,0,141,0,1.0,0.0,11056,0.0,139,0,1.0
20260409T170232Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,hf,True,,,,,"failed, answer_mismatch, image_grounding_miss",0.0,0,384,0,0.0,0.0,38425,0.0,349,0,0.0
20260409T170306Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,hf,True,,,,,"failed, answer_missing, generation_truncated, thinking_overflow",0.0,0,384,0,0.0,0.0,34121,0.0,346,0,0.0
20260409T170337Z_monolith_think_011_incident_screenshot_toggle_think_011_incident_screenshot_toggle_clean,think_011_incident_screenshot_toggle,think_011_incident_screenshot_toggle_clean,thinking,monolith,hf,True,,,,,"failed, answer_missing, generation_truncated, thinking_overflow",0.0,0,384,0,0.0,0.0,31409,0.0,349,0,0.0
20260409T170405Z_monolith_think_012_billing_invoice_lock_think_012_billing_invoice_lock_clean,think_012_billing_invoice_lock,think_012_billing_invoice_lock_clean,thinking,monolith,hf,True,,,,,none,1.0,0,313,0,1.0,0.0,28366,0.0,352,0,1.0
20260409T170417Z_monolith_think_008_schedule_choice_think_008_schedule_choice_clean,think_008_schedule_choice,think_008_schedule_choice_clean,thinking,monolith,hf,True,,,,,none,1.0,0,145,0,1.0,0.0,11294,0.0,109,0,1.0
20260409T170418Z_monolith_think_009_budget_summary_think_009_budget_summary_clean,think_009_budget_summary,think_009_budget_summary_clean,thinking,monolith,hf,True,,,,,none,1.0,0,8,0,1.0,0.0,951,0.0,132,0,1.0
20260409T170434Z_monolith_think_010_repo_reasoning_think_010_repo_reasoning_clean,think_010_repo_reasoning,think_010_repo_reasoning_clean,thinking,monolith,hf,True,,,,,none,1.0,0,218,0,1.0,0.0,16213,0.0,106,0,1.0
