run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,arg_exact,avoidable_retries,completion_tokens,controller_repair_count,final_state_match,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,prompt_tokens,recovery_correct,steps_taken,success,tool_exact
20260409T172159Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_clean,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_clean,full_stack,modular,hf,False,,,,,none,1.0,1.0,0,108,2,1.0,0.0,1.0,28233,0.0,1254,1.0,3,1.0,1.0
20260409T172226Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_language_fr,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_language_fr,full_stack,modular,hf,False,fr,,,,"wrong_tool, arg_mismatch",1.0,0.0,0,176,3,1.0,0.0,0.4,26800,0.0,1804,1.0,3,1.0,0.0
20260409T172236Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_schema_validator_feedback,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_schema_validator_feedback,full_stack,modular,hf,False,,validator_feedback,,,none,1.0,1.0,0,118,2,1.0,0.0,1.0,9307,0.0,1254,1.0,3,1.0,1.0
20260409T172244Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_context_changed_constraint,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_context_changed_constraint,full_stack,modular,hf,False,,,changed_constraint,,none,1.0,1.0,0,124,2,1.0,0.0,1.0,7821,0.0,1305,1.0,3,1.0,1.0
20260409T172251Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_efficiency_truncation_compact,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_efficiency_truncation_compact,full_stack,modular,hf,False,,,,truncation_compact,none,1.0,1.0,0,117,2,1.0,0.0,1.0,6280,0.0,1254,1.0,3,1.0,1.0
20260409T172303Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_crossed,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_crossed,full_stack,modular,hf,False,fr,,changed_constraint,truncation_compact,"wrong_tool, arg_mismatch",1.0,0.0,0,178,3,1.0,0.0,0.4,11999,0.0,1804,1.0,3,1.0,0.0
20260409T172317Z_modular_agent_011_runbook_guided_patch_agent_011_runbook_guided_patch_clean,agent_011_runbook_guided_patch,agent_011_runbook_guided_patch_clean,full_stack,modular,hf,False,,,,,none,1.0,1.0,0,190,2,1.0,0.0,1.0,13754,0.0,1131,1.0,2,1.0,1.0
20260409T172339Z_modular_agent_011_runbook_guided_patch_agent_011_runbook_guided_patch_language_fr,agent_011_runbook_guided_patch,agent_011_runbook_guided_patch_language_fr,full_stack,modular,hf,False,fr,,,,"failed, answer_mismatch",0.0,1.0,0,169,2,1.0,0.0,1.0,21198,0.0,1164,1.0,2,0.0,1.0
20260409T172356Z_modular_agent_011_runbook_guided_patch_agent_011_runbook_guided_patch_schema_validator_feedback,agent_011_runbook_guided_patch,agent_011_runbook_guided_patch_schema_validator_feedback,full_stack,modular,hf,False,,validator_feedback,,,none,1.0,1.0,0,159,2,1.0,0.0,1.0,10967,0.0,1131,1.0,2,1.0,1.0
20260409T172409Z_modular_agent_011_runbook_guided_patch_agent_011_runbook_guided_patch_context_changed_constraint,agent_011_runbook_guided_patch,agent_011_runbook_guided_patch_context_changed_constraint,full_stack,modular,hf,False,,,changed_constraint,,none,1.0,1.0,0,173,2,1.0,0.0,1.0,12749,0.0,1182,1.0,2,1.0,1.0
20260409T172418Z_modular_agent_011_runbook_guided_patch_agent_011_runbook_guided_patch_efficiency_truncation_compact,agent_011_runbook_guided_patch,agent_011_runbook_guided_patch_efficiency_truncation_compact,full_stack,modular,hf,False,,,,truncation_compact,none,1.0,1.0,0,154,2,1.0,0.0,1.0,8857,0.0,1131,1.0,2,1.0,1.0
20260409T172429Z_modular_agent_012_billing_guardrail_patch_agent_012_billing_guardrail_patch_clean,agent_012_billing_guardrail_patch,agent_012_billing_guardrail_patch_clean,full_stack,modular,hf,False,,,,,none,1.0,1.0,0,165,2,1.0,0.0,1.0,10265,0.0,1179,1.0,2,1.0,1.0
20260409T172442Z_modular_agent_012_billing_guardrail_patch_agent_012_billing_guardrail_patch_language_fr,agent_012_billing_guardrail_patch,agent_012_billing_guardrail_patch_language_fr,full_stack,modular,hf,False,fr,,,,none,1.0,1.0,0,161,2,1.0,0.0,1.0,12706,0.0,1212,1.0,2,1.0,1.0
20260409T172453Z_modular_agent_012_billing_guardrail_patch_agent_012_billing_guardrail_patch_schema_validator_feedback,agent_012_billing_guardrail_patch,agent_012_billing_guardrail_patch_schema_validator_feedback,full_stack,modular,hf,False,,validator_feedback,,,none,1.0,1.0,0,169,2,1.0,0.0,1.0,11053,0.0,1179,1.0,2,1.0,1.0
20260409T172503Z_modular_agent_012_billing_guardrail_patch_agent_012_billing_guardrail_patch_context_changed_constraint,agent_012_billing_guardrail_patch,agent_012_billing_guardrail_patch_context_changed_constraint,full_stack,modular,hf,False,,,changed_constraint,,none,1.0,1.0,0,160,2,1.0,0.0,1.0,9622,0.0,1230,1.0,2,1.0,1.0
20260409T172514Z_modular_agent_012_billing_guardrail_patch_agent_012_billing_guardrail_patch_efficiency_truncation_compact,agent_012_billing_guardrail_patch,agent_012_billing_guardrail_patch_efficiency_truncation_compact,full_stack,modular,hf,False,,,,truncation_compact,none,1.0,1.0,0,147,2,1.0,0.0,1.0,10544,0.0,1179,1.0,2,1.0,1.0
