run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,arg_exact,avoidable_retries,completion_tokens,controller_repair_count,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,prompt_tokens,recovery_correct,steps_taken,success,tool_exact
20260409T171847Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_clean,tool_009_parallel_context_check,tool_009_parallel_context_check_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,96,1,0.0,0.9999999999999999,9722,0.0,630,1.0,2,1.0,1.0
20260409T171852Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_language_code_switch,tool_009_parallel_context_check,tool_009_parallel_context_check_language_code_switch,tool_routing,modular,hf,False,code_switch,,,,none,1.0,0,87,1,0.0,0.9999999999999999,4582,0.0,638,1.0,2,1.0,1.0
20260409T171857Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_schema_renamed_fields,tool_009_parallel_context_check,tool_009_parallel_context_check_schema_renamed_fields,tool_routing,modular,hf,False,,renamed_fields,,,none,1.0,0,94,3,0.0,0.9999999999999999,5222,0.0,654,1.0,2,1.0,1.0
20260409T171902Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_context_irrelevant_tool_output,tool_009_parallel_context_check,tool_009_parallel_context_check_context_irrelevant_tool_output,tool_routing,modular,hf,False,,,irrelevant_tool_output,,none,1.0,0,91,1,0.0,0.9999999999999999,5119,0.0,672,1.0,2,1.0,1.0
20260409T171910Z_modular_tool_010_validator_ready_tool_010_validator_ready_clean,tool_010_validator_ready,tool_010_validator_ready_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,99,1,0.0,0.9999999999999999,7783,0.0,626,1.0,1,1.0,1.0
20260409T171916Z_modular_tool_010_validator_ready_tool_010_validator_ready_language_code_switch,tool_010_validator_ready,tool_010_validator_ready_language_code_switch,tool_routing,modular,hf,False,code_switch,,,,none,1.0,0,95,1,0.0,0.9999999999999999,6162,0.0,634,1.0,1,1.0,1.0
20260409T171922Z_modular_tool_010_validator_ready_tool_010_validator_ready_schema_renamed_fields,tool_010_validator_ready,tool_010_validator_ready_schema_renamed_fields,tool_routing,modular,hf,False,,renamed_fields,,,none,1.0,0,99,2,0.0,0.9999999999999999,5385,0.0,641,1.0,1,1.0,1.0
20260409T171928Z_modular_tool_010_validator_ready_tool_010_validator_ready_context_irrelevant_tool_output,tool_010_validator_ready,tool_010_validator_ready_context_irrelevant_tool_output,tool_routing,modular,hf,False,,,irrelevant_tool_output,,none,1.0,0,112,1,0.0,0.9999999999999999,6782,0.0,668,1.0,1,1.0,1.0
20260409T171932Z_modular_tool_011_latest_budget_lookup_tool_011_latest_budget_lookup_clean,tool_011_latest_budget_lookup,tool_011_latest_budget_lookup_clean,tool_routing,modular,hf,False,,,,,none,1.0,0,73,1,0.0,0.9999999999999999,4116,0.0,505,1.0,1,1.0,1.0
20260409T171937Z_modular_tool_011_latest_budget_lookup_tool_011_latest_budget_lookup_language_code_switch,tool_011_latest_budget_lookup,tool_011_latest_budget_lookup_language_code_switch,tool_routing,modular,hf,False,code_switch,,,,none,1.0,0,72,1,0.0,0.9999999999999999,4916,0.0,513,1.0,1,1.0,1.0
20260409T171941Z_modular_tool_011_latest_budget_lookup_tool_011_latest_budget_lookup_schema_renamed_fields,tool_011_latest_budget_lookup,tool_011_latest_budget_lookup_schema_renamed_fields,tool_routing,modular,hf,False,,renamed_fields,,,none,1.0,0,72,2,0.0,0.9999999999999999,3602,0.0,520,1.0,1,1.0,1.0
20260409T171945Z_modular_tool_011_latest_budget_lookup_tool_011_latest_budget_lookup_context_irrelevant_tool_output,tool_011_latest_budget_lookup,tool_011_latest_budget_lookup_context_irrelevant_tool_output,tool_routing,modular,hf,False,,,irrelevant_tool_output,,none,1.0,0,72,1,0.0,0.9999999999999999,3623,0.0,547,1.0,1,1.0,1.0
20260409T171948Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_clean,tool_012_billing_patch_record,tool_012_billing_patch_record_clean,tool_routing,modular,hf,False,,,,,"failed, wrong_tool, arg_mismatch",0.0,0,59,1,0.0,0.25,3176,0.0,475,1.0,1,0.0,0.0
20260409T171953Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_language_code_switch,tool_012_billing_patch_record,tool_012_billing_patch_record_language_code_switch,tool_routing,modular,hf,False,code_switch,,,,"failed, wrong_tool, arg_mismatch",0.0,0,80,1,0.0,0.25,4764,0.0,483,1.0,1,0.0,0.0
20260409T171957Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_schema_renamed_fields,tool_012_billing_patch_record,tool_012_billing_patch_record_schema_renamed_fields,tool_routing,modular,hf,False,,renamed_fields,,,"failed, wrong_tool, arg_mismatch",0.0,0,78,2,0.0,0.25,4739,0.0,490,1.0,1,0.0,0.0
20260409T172001Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_context_irrelevant_tool_output,tool_012_billing_patch_record,tool_012_billing_patch_record_context_irrelevant_tool_output,tool_routing,modular,hf,False,,,irrelevant_tool_output,,"failed, wrong_tool, arg_mismatch",0.0,0,59,1,0.0,0.25,3479,0.0,517,1.0,1,0.0,0.0
