run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,benchmark_tags,autonomy_level,risk_tier,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,arg_exact,avoidable_retries,collateral_damage_free,completion_tokens,controller_repair_count,escalation_readiness,faster_than_human,final_state_match,hallucinated_tool_rate,human_time_ratio,interface_reliability_score,intervention_free_success,latency_ms,malformed_call_rate,prompt_tokens,real_world_readiness_score,recovery_correct,recovery_resilience,state_integrity_score,steps_taken,success,tool_exact
20260409T191122Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_clean,agent_002_reschedule_sarah,agent_002_reschedule_sarah_clean,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,,,,none,1.0,1.0,0,1.0,192,2,1.0,1.0,1.0,0.0,0.0422,1.0,1.0,20275,0.0,1303,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191140Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_language_fr,agent_002_reschedule_sarah,agent_002_reschedule_sarah_language_fr,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,fr,,,,none,1.0,1.0,0,1.0,192,2,1.0,1.0,1.0,0.0,0.037,1.0,1.0,17769,0.0,1348,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191154Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_schema_validator_feedback,agent_002_reschedule_sarah,agent_002_reschedule_sarah_schema_validator_feedback,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,validator_feedback,,,none,1.0,1.0,0,1.0,192,2,1.0,1.0,1.0,0.0,0.0287,1.0,1.0,13764,0.0,1303,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191209Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_context_changed_constraint,agent_002_reschedule_sarah,agent_002_reschedule_sarah_context_changed_constraint,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,,changed_constraint,,none,1.0,1.0,0,1.0,192,2,1.0,1.0,1.0,0.0,0.0312,1.0,1.0,14996,0.0,1354,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191226Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_efficiency_truncation_compact,agent_002_reschedule_sarah,agent_002_reschedule_sarah_efficiency_truncation_compact,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,,,truncation_compact,none,1.0,1.0,0,1.0,192,2,1.0,1.0,1.0,0.0,0.0328,1.0,1.0,15743,0.0,1303,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191239Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_crossed,agent_002_reschedule_sarah,agent_002_reschedule_sarah_crossed,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,fr,,changed_constraint,truncation_compact,none,1.0,1.0,0,1.0,159,2,1.0,1.0,1.0,0.0,0.0251,1.0,1.0,12034,0.0,1348,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191249Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_clean,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_clean,full_stack,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,,,none,1.0,1.0,0,1.0,124,2,1.0,1.0,1.0,0.0,0.0141,1.0,1.0,10154,0.0,1254,1.0,1.0,1.0,1.0,3,1.0,1.0
20260409T191301Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_language_fr,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_language_fr,full_stack,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,fr,,,,"wrong_tool, arg_mismatch",1.0,0.0,0,1.0,174,3,1.0,1.0,1.0,0.0,0.0154,0.4,1.0,11117,0.0,1804,1.0,1.0,1.0,1.0,3,1.0,0.0
20260409T191310Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_schema_validator_feedback,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_schema_validator_feedback,full_stack,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,validator_feedback,,,none,1.0,1.0,0,1.0,130,2,1.0,1.0,1.0,0.0,0.0118,1.0,1.0,8466,0.0,1254,1.0,1.0,1.0,1.0,3,1.0,1.0
20260409T191319Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_context_changed_constraint,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_context_changed_constraint,full_stack,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,changed_constraint,,none,1.0,1.0,0,1.0,122,2,1.0,1.0,1.0,0.0,0.0119,1.0,1.0,8578,0.0,1305,1.0,1.0,1.0,1.0,3,1.0,1.0
