rank,display_name,short_label,system_id,lane,run_intent,run_scope,result_family,comparison_batch,snapshot_name,provider,comparison_tier,publishable_default,capability_family,executor_mode,modality,deployment,local,backend,reasoner,router,retriever,reasoner_display_name,router_display_name,retriever_display_name,reasoner_params_b,router_params_b,retriever_params_b,total_params_b,input_cost_per_mtok,output_cost_per_mtok,total_cost_per_mtok,warmup_load_ms,last_request_elapsed_ms,requests_completed,board_status,progress_status,validation_error,returncode,timed_out,completed_runs_observed,planned_runs,coverage_ratio,coverage_pct,completion_pct,matrix_complete,full_lane_complete,failure_excerpt,episode_count,pass_count,refine_count,fail_count,artifact_quality_avg,browser_workflow_avg,strict_interface_avg,recovered_execution_avg,real_world_readiness_avg,escalation_correctness_avg,readiness_pct,strict_pct,browser_pct,artifact_pct,recovered_pct,pass_rate_pct,rank_group,avg_readiness,avg_strict_interface,avg_browser_workflow,avg_artifact_quality,avg_recovered_execution,avg_escalation_correctness,best_lane,best_lane_readiness,lane_count,lanes,lane_readiness_json,systems,completed_systems,partial_systems,timed_out_systems,failed_systems,local_systems,total_episodes,observed_episodes,total_pass_count,total_refine_count,total_fail_count,best_system_id,best_display_name,best_readiness,best_strict_interface,best_browser_workflow,created_at,run_group_id,output_dir,role_breakdown_json,category_breakdown_json,track_breakdown_json,harnessability_breakdown_json,direction_following_breakdown_json,tool_family_breakdown_json,color,reasoner_backend,router_backend,retriever_backend,browser_delta,canonical_browser_workflow,canonical_episode_count,canonical_fail_count,canonical_pass_count,canonical_readiness,canonical_refine_count,canonical_run_group_id,canonical_strict_interface,exploratory_browser_workflow,exploratory_episode_count,exploratory_fail_count,exploratory_pass_count,exploratory_readiness,exploratory_refine_count,exploratory_run_group_id,exploratory_strict_interface,readiness_delta,strict_delta
,Qwen3 8B (MLX 4-bit),,mlx_qwen3_8b_reasoner_only,live_web_stress,,,,,,,,,reasoner_only,local_reasoner,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,0.0,,,0.0,1.0,23,0,23,0.9798,0,20260412T213438Z_live_web_stress,1.0,0.9798,1.0
,Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,live_web_stress,,,,,,,,,oracle_upper_bound,seeded,multimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,18,0,18,0.9629555555555557,0,20260410T193320Z_live_web_stress,1.0,1.0,20,2,18,0.966045,0,20260411T142334Z_live_web_stress,0.9625,0.0031,-0.0375
,Gemma 4 E2B (HF local),,hf_service_gemma4_reasoner_only,live_web_stress,,,,,,,,,reasoner_only,local_reasoner,multimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,0.0,,,0.0,1.0,18,0,18,0.9629555555555557,0,20260410T203819Z_live_web_stress,1.0,0.963,1.0
,Oracle KWA visual episodes,,kwa_visual_oracle,live_web_stress,,,,,,,,,oracle_upper_bound,seeded,multimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,0.0,,,0.0,1.0,3,0,3,0.9589666666666666,0,20260410T191400Z_live_web_stress,1.0,0.959,1.0
,Gemma 4 E2B (HF in-process),,hf_gemma4_e2b_reasoner_only,live_web_stress,,,,,,,,,reasoner_only,local_reasoner,multimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,0.0,,,0.0,1.0,20,6,14,0.9347899999999999,0,20260411T142727Z_live_web_stress,0.875,0.9348,0.875
,Gemma 4 E2B + specialists (HF in-process),,hf_gemma4_e2b_specialists_cpu,live_web_stress,,,,,,,,,specialist_stack,local_specialists,multimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,0.0,,,0.0,1.0,20,6,14,0.9347899999999999,0,20260411T143805Z_live_web_stress,0.875,0.9348,0.875
,Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),,hf_service_gemma4_specialists_cpu,live_web_stress,,,,,,,,,specialist_stack,local_specialists,multimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,0.0,,,0.0,1.0,1,1,0,0.8993,0,20260410T220308Z_live_web_stress,1.0,0.8993,1.0
,Gemma 4 E2B + specialists (HF in-process),,hf_gemma4_e2b_specialists_cpu,replayable_core,,,,,,,,,specialist_stack,local_specialists,multimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9821,0.0,,,,0.0,,,0.0,0.9821241379310345,29,0,29,0.9774,0,20260412T190026Z_replayable_core,1.0,0.9774,1.0
,Qwen3 8B (MLX 4-bit),,mlx_qwen3_8b_reasoner_only,replayable_core,,,,,,,,,reasoner_only,local_reasoner,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9821,0.0,,,,0.0,,,0.0,0.9821241379310345,29,0,29,0.9774,0,20260412T213721Z_replayable_core,1.0,0.9774,1.0
,Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,replayable_core,,,,,,,,,oracle_upper_bound,seeded,multimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0081,0.991025,24,0,24,0.9509541666666667,0,20260410T193320Z_replayable_core,1.0,0.9829461538461538,26,2,24,0.9668576923076924,0,20260411T142324Z_replayable_core,0.9711538461538461,0.0159,-0.0288
