display_name,short_label,system_id,lane,run_intent,run_scope,provider,capability_family,executor_mode,modality,deployment,local,backend,reasoner,router,retriever,reasoner_display_name,router_display_name,retriever_display_name,reasoner_params_b,router_params_b,retriever_params_b,total_params_b,input_cost_per_mtok,output_cost_per_mtok,total_cost_per_mtok,warmup_load_ms,last_request_elapsed_ms,requests_completed,episode_count,pass_count,refine_count,fail_count,artifact_quality_avg,browser_workflow_avg,strict_interface_avg,recovered_execution_avg,real_world_readiness_avg,escalation_correctness_avg,created_at,run_group_id,output_dir,role_breakdown_json,category_breakdown_json,track_breakdown_json,color,reasoner_backend,router_backend,retriever_backend
Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,live_web_stress,canonical,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,,
Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,live_web_stress,canonical,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,,
Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,live_web_stress,canonical,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,,
Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,,,,,,,,,,,,
Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,,,,,,,,,,,,
Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B (HF local),,hf_service_gemma4_reasoner_only,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B (HF local),,hf_service_gemma4_reasoner_only,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B (HF local),,hf_service_gemma4_reasoner_only,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),,hf_service_gemma4_specialists_cpu,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),,hf_service_gemma4_specialists_cpu,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),,hf_service_gemma4_specialists_cpu,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B + specialists (HF in-process),,hf_gemma4_e2b_specialists_cpu,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B + specialists (HF in-process),,hf_gemma4_e2b_specialists_cpu,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0,,,,,,,,,,,,,,,,
Gemma 4 E2B + specialists (HF in-process),,hf_gemma4_e2b_specialists_cpu,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0,,,,,,,,,,,,,,,,
Gemma 4 E2B (HF in-process),,hf_gemma4_e2b_reasoner_only,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0,,,,,,,,,,,,,,,,
Gemma 4 E2B (HF in-process),,hf_gemma4_e2b_reasoner_only,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0,,,,,,,,,,,,,,,,
Gemma 4 E2B (HF in-process),,hf_gemma4_e2b_reasoner_only,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0,,,,,,,,,,,,,,,,
Oracle KWA visual episodes,,kwa_visual_oracle,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,
Oracle KWA visual episodes,,kwa_visual_oracle,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,
Oracle KWA visual episodes,,kwa_visual_oracle,live_web_stress,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,
Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,replayable_core,canonical,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,,
Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,replayable_core,canonical,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,,
Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,replayable_core,canonical,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B (HF local),,hf_service_gemma4_reasoner_only,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B (HF local),,hf_service_gemma4_reasoner_only,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B (HF local),,hf_service_gemma4_reasoner_only,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),,hf_service_gemma4_specialists_cpu,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),,hf_service_gemma4_specialists_cpu,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B + FunctionGemma + EmbeddingGemma (HF local),,hf_service_gemma4_specialists_cpu,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B + specialists (HF in-process),,hf_gemma4_e2b_specialists_cpu,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B + specialists (HF in-process),,hf_gemma4_e2b_specialists_cpu,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,1.0,,,,,,,,,,,,,,,,
Gemma 4 E2B + specialists (HF in-process),,hf_gemma4_e2b_specialists_cpu,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,,
Gemma 4 E2B (HF in-process),,hf_gemma4_e2b_reasoner_only,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,1.0,,,,,,,,,,,,,,,,
Gemma 4 E2B (HF in-process),,hf_gemma4_e2b_reasoner_only,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,1.0,,,,,,,,,,,,,,,,
Gemma 4 E2B (HF in-process),,hf_gemma4_e2b_reasoner_only,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,1.0,,,,,,,,,,,,,,,,
Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,,
Oracle Gemma 4 + specialists,,oracle_gemma4_e2b,replayable_core,exploratory,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,,,,,,,,,,,,
