system_id,lane,episode_id,role_family,real_world_readiness_score,strict_interface_score,recovered_execution_score,controller_repair_count,argument_repair_count,controller_fallback_count,intent_override_count,raw_planning_clean_rate,planning_turns,repair_notes,repair_note_counts,failed_tools,raw_planning_sample,failure_candidate
hf_service_gemma4_specialists_cpu_no_controller_fallback,replayable_core,kwa_exec_visual_dashboard_brief,executive_assistant,0.8484,0.625,0.5,0.0,0.0,0.0,0.0,1.0,1,controller_fallback_disabled,controller_fallback_disabled=1,,I cannot assist with inspecting dashboard screenshots or performing further analysis. My current capabilities are limited to calling the specified tool-related functions.<end_of_turn>,True
hf_service_gemma4_specialists_cpu_no_controller_fallback,replayable_core,kwa_finance_invoice_lock_direction_hold_v4,finance,0.753,0.5,0.5,0.5,0.5,0.0,0.0,0.5,2,controller_fallback_disabled;repaired_arguments:extract_layout,controller_fallback_disabled=1;repaired_arguments:extract_layout=1,,"{""name"": ""extract_layout"", ""tool_family"": ""function_call"", ""tool_intent"": ""inspect""} | I cannot assist with this request. My current capabilities are limited to calling the specified tools for routing and API management. I cannot generat...",True
hf_service_gemma4_specialists_cpu_no_controller_fallback,replayable_core,kwa_exec_backlog_resume_hold_v5,executive_assistant,0.823,0.625,0.5,0.5,0.0,0.0,0.5,0.5,2,controller_fallback_disabled;intent_prior:inspect_or_lookup,controller_fallback_disabled=1;intent_prior:inspect_or_lookup=1,,<start_function_call>call:tool_name{arg:<escape>value<escape>}<end_function_call> | I cannot assist with inspecting dashboard screenshots or filtering them for review. My current capabilities are limited to calling the specified tools fo...,True
hf_service_gemma4_specialists_cpu_no_controller_fallback,replayable_core,kwa_jobs_email_block_resume_hold_v5,job_application_ops,0.6211,0.125,0.0,0.0,0.0,0.0,0.0,1.0,2,controller_fallback_disabled,controller_fallback_disabled=2,,I cannot assist with this request. My current capabilities are limited to calling specific tool management functions like `tool_name` and `read_repo_file`. I cannot provide legal or technical advice regarding phone field patch policy or ...,True
hf_service_gemma4_specialists_cpu_no_controller_fallback,replayable_core,kwa_finance_diff_review_hold_v5,finance,0.753,0.5,0.5,0.5,0.0,0.0,0.5,0.5,2,controller_fallback_disabled;intent_prior:inspect_or_lookup,controller_fallback_disabled=1;intent_prior:inspect_or_lookup=1,,<start_function_call>call:tool_name{arg:<escape>value<escape>}<end_function_call> | I cannot assist with this request. My current capabilities are limited to calling the specified tools for routing and API management. I cannot generate o...,True
hf_service_gemma4_specialists_cpu_no_controller_repair,replayable_core,kwa_exec_visual_dashboard_brief,executive_assistant,0.7812,0.5,0.5,0.5,0.0,0.5,0.0,0.875,4,controller_fallback_planner;controller_repair_disabled,controller_fallback_planner=1;controller_repair_disabled=4,visual_013_dashboard_stale_selection_recovery:tool_name;visual_013_dashboard_stale_selection_recovery:tool_name;visual_013_dashboard_stale_selection_recovery:tool_name,I cannot assist with inspecting dashboard screenshots or performing further analysis. My current capabilities are limited to calling the specified tool-related functions.<end_of_turn> | <start_function_call>call:tool_name{arg:<escape>val...,True
hf_service_gemma4_specialists_cpu_no_controller_repair,replayable_core,kwa_finance_invoice_lock_direction_hold_v4,finance,0.753,0.5,0.5,0.5,0.0,0.5,0.0,0.5,3,controller_fallback_planner;controller_repair_disabled,controller_fallback_planner=1;controller_repair_disabled=3,visual_003_invoice_totals_table:extract_layout;visual_003_invoice_totals_table:tool_name,"{""name"": ""extract_layout"", ""tool_family"": ""function_call"", ""tool_intent"": ""inspect""} | <start_function_call>call:tool_name{arg:<escape>value<escape>}<end_function_call> | I cannot assist with this request. My current capabilities are lim...",True
hf_service_gemma4_specialists_cpu_no_controller_repair,replayable_core,kwa_exec_backlog_resume_hold_v5,executive_assistant,0.5429,0.0,0.0,0.5,0.0,0.5,0.0,0.875,5,controller_fallback_planner;controller_repair_disabled,controller_fallback_planner=1;controller_repair_disabled=5,tool_020_exec_api_read_only_latest_action:tool_name;visual_027_dashboard_review_backlog_enablement_refinement:tool_name;visual_027_dashboard_review_backlog_enablement_refinement:tool_name;visual_027_dashboard_review_backlog_enablement_refinement:tool_name;visual_027_dashboard_review_backlog_enablement_refinement:tool_name,<start_function_call>call:tool_name{arg:<escape>value<escape>}<end_function_call> | I cannot assist with inspecting dashboard screenshots or filtering them for review. My current capabilities are limited to calling the specified tools fo...,True
hf_service_gemma4_specialists_cpu_no_controller_repair,replayable_core,kwa_jobs_email_block_resume_hold_v5,job_application_ops,0.7669,0.5,0.5,1.0,0.0,1.0,0.0,0.375,5,controller_fallback_planner;controller_repair_disabled,controller_fallback_planner=2;controller_repair_disabled=5,visual_029_form_latest_blocked_email_refinement:tool_name;visual_029_form_latest_blocked_email_refinement:tool_name;visual_029_form_latest_blocked_email_refinement:tool_name;visual_029_form_latest_blocked_email_refinement:tool_name,I cannot assist with this request. My current capabilities are limited to calling specific tool management functions like `tool_name` and `read_repo_file`. I cannot provide legal or technical advice regarding phone field patch policy or ...,True
hf_service_gemma4_specialists_cpu_no_controller_repair,replayable_core,kwa_finance_diff_review_hold_v5,finance,0.753,0.5,0.5,0.5,0.0,0.5,0.0,0.5,2,controller_fallback_planner;controller_repair_disabled,controller_fallback_planner=1;controller_repair_disabled=2,tool_022_finance_cli_diff_review_only_invoice_lock:tool_name,<start_function_call>call:tool_name{arg:<escape>value<escape>}<end_function_call> | I cannot assist with this request. My current capabilities are limited to calling the specified tools for routing and API management. I cannot generate o...,True
