system_id,note,count,episode_count,task_count,episodes
hf_service_gemma4_specialists_cpu,controller_fallback_planner,6,5,6,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu,intent_prior:inspect_or_lookup,2,2,2,kwa_exec_backlog_resume_hold_v5;kwa_finance_diff_review_hold_v5
hf_service_gemma4_specialists_cpu,repaired_arguments:extract_layout,1,1,1,kwa_finance_invoice_lock_direction_hold_v4
hf_service_gemma4_specialists_cpu_no_argument_repair,controller_fallback_planner,7,5,7,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_argument_repair,intent_prior:inspect_or_lookup,2,2,2,kwa_exec_backlog_resume_hold_v5;kwa_finance_diff_review_hold_v5
hf_service_gemma4_specialists_cpu_no_controller_fallback,controller_fallback_disabled,6,5,6,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_controller_fallback,intent_prior:inspect_or_lookup,2,2,2,kwa_exec_backlog_resume_hold_v5;kwa_finance_diff_review_hold_v5
hf_service_gemma4_specialists_cpu_no_controller_fallback,repaired_arguments:extract_layout,1,1,1,kwa_finance_invoice_lock_direction_hold_v4
hf_service_gemma4_specialists_cpu_no_controller_repair,controller_fallback_planner,6,5,6,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_controller_repair,controller_repair_disabled,19,5,9,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,controller_fallback_planner,6,5,6,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,feedback_prior:read_region_text,4,4,4,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,feedback_prior:refine_selection,8,3,3,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,intent_prior:inspect_or_lookup,2,2,2,kwa_exec_backlog_resume_hold_v5;kwa_finance_diff_review_hold_v5
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,repaired_arguments:extract_layout,1,1,1,kwa_finance_invoice_lock_direction_hold_v4
hf_service_gemma4_specialists_cpu_no_intent_priority,canonicalized_tool:tool_name->api_fetch_record,1,1,1,kwa_exec_backlog_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_intent_priority,canonicalized_tool:tool_name->cli_inspect_diff,1,1,1,kwa_finance_diff_review_hold_v5
hf_service_gemma4_specialists_cpu_no_intent_priority,controller_fallback_planner,6,5,6,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_intent_priority,intent_priority_disabled,9,5,9,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_intent_priority,repaired_arguments:api_fetch_record,1,1,1,kwa_exec_backlog_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_intent_priority,repaired_arguments:cli_inspect_diff,1,1,1,kwa_finance_diff_review_hold_v5
hf_service_gemma4_specialists_cpu_no_intent_priority,repaired_arguments:extract_layout,1,1,1,kwa_finance_invoice_lock_direction_hold_v4
hf_service_gemma4_specialists_cpu_no_visual_rescue,controller_fallback_planner,6,5,6,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_visual_rescue,intent_prior:inspect_or_lookup,2,2,2,kwa_exec_backlog_resume_hold_v5;kwa_finance_diff_review_hold_v5
hf_service_gemma4_specialists_cpu_no_visual_rescue,repaired_arguments:extract_layout,1,1,1,kwa_finance_invoice_lock_direction_hold_v4
