system_id,note,count,episode_count,task_count,episodes
hf_service_gemma4_specialists_cpu,controller_fallback_planner,3,3,3,kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu,repaired_arguments:api_fetch_record,1,1,1,kwa_exec_backlog_resume_hold_v5
hf_service_gemma4_specialists_cpu,repaired_arguments:cli_apply_patch,1,1,1,kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu,repaired_arguments:extract_layout,3,3,3,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_invoice_lock_direction_hold_v4
hf_service_gemma4_specialists_cpu_no_argument_repair,controller_fallback_planner,8,5,8,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_controller_fallback,controller_fallback_disabled,3,3,3,kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_controller_fallback,repaired_arguments:api_fetch_record,1,1,1,kwa_exec_backlog_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_controller_fallback,repaired_arguments:cli_apply_patch,1,1,1,kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_controller_fallback,repaired_arguments:extract_layout,3,3,3,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_invoice_lock_direction_hold_v4
hf_service_gemma4_specialists_cpu_no_controller_repair,controller_fallback_planner,3,3,3,kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_controller_repair,controller_repair_disabled,21,5,9,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,controller_fallback_planner,3,3,3,kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,feedback_prior:read_region_text,2,2,2,kwa_exec_backlog_resume_hold_v5;kwa_finance_invoice_lock_direction_hold_v4
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,feedback_prior:refine_selection,4,3,3,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,repaired_arguments:api_fetch_record,1,1,1,kwa_exec_backlog_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,repaired_arguments:cli_apply_patch,1,1,1,kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,repaired_arguments:extract_layout,3,3,3,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_invoice_lock_direction_hold_v4
hf_service_gemma4_specialists_cpu_no_deterministic_visual_follow_on,visual_stepwise_prior,6,3,3,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_intent_priority,controller_fallback_planner,3,3,3,kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_intent_priority,intent_priority_disabled,9,5,9,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_intent_priority,repaired_arguments:api_fetch_record,1,1,1,kwa_exec_backlog_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_intent_priority,repaired_arguments:cli_apply_patch,1,1,1,kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_intent_priority,repaired_arguments:extract_layout,3,3,3,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_invoice_lock_direction_hold_v4
hf_service_gemma4_specialists_cpu_no_visual_rescue,controller_fallback_planner,3,3,3,kwa_finance_diff_review_hold_v5;kwa_finance_invoice_lock_direction_hold_v4;kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_visual_rescue,repaired_arguments:api_fetch_record,1,1,1,kwa_exec_backlog_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_visual_rescue,repaired_arguments:cli_apply_patch,1,1,1,kwa_jobs_email_block_resume_hold_v5
hf_service_gemma4_specialists_cpu_no_visual_rescue,repaired_arguments:extract_layout,3,3,3,kwa_exec_backlog_resume_hold_v5;kwa_exec_visual_dashboard_brief;kwa_finance_invoice_lock_direction_hold_v4
