system_id,note,count,episode_count,task_count,episodes
mlx_gemma4_e2b_reasoner_only,controller_fallback_planner,2,2,2,kwa_jobs_live_email_block_resume_hold_v5;kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only,repaired_arguments:api_fetch_record,1,1,1,kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only,repaired_arguments:api_update_record,1,1,1,kwa_finance_live_diff_review_hold_v5
mlx_gemma4_e2b_reasoner_only,repaired_arguments:cli_apply_patch,1,1,1,kwa_jobs_live_email_block_resume_hold_v5
mlx_gemma4_e2b_reasoner_only,repaired_arguments:cli_search_logs,1,1,1,kwa_finance_live_invoice_lock_direction_hold_v4
mlx_gemma4_e2b_reasoner_only,repaired_arguments:extract_layout,1,1,1,kwa_exec_live_visual_dashboard_brief
mlx_gemma4_e2b_reasoner_only_no_argument_repair,controller_fallback_planner,2,2,2,kwa_jobs_live_email_block_resume_hold_v5;kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_controller_fallback,controller_fallback_disabled,2,2,2,kwa_jobs_live_email_block_resume_hold_v5;kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_controller_fallback,repaired_arguments:api_fetch_record,1,1,1,kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_controller_fallback,repaired_arguments:api_update_record,1,1,1,kwa_finance_live_diff_review_hold_v5
mlx_gemma4_e2b_reasoner_only_no_controller_fallback,repaired_arguments:cli_apply_patch,1,1,1,kwa_jobs_live_email_block_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_controller_fallback,repaired_arguments:cli_search_logs,1,1,1,kwa_finance_live_invoice_lock_direction_hold_v4
mlx_gemma4_e2b_reasoner_only_no_controller_fallback,repaired_arguments:extract_layout,1,1,1,kwa_exec_live_visual_dashboard_brief
mlx_gemma4_e2b_reasoner_only_no_controller_repair,controller_fallback_planner,5,2,2,kwa_jobs_live_email_block_resume_hold_v5;kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_controller_repair,controller_repair_disabled,20,5,9,kwa_exec_live_visual_dashboard_brief;kwa_finance_live_diff_review_hold_v5;kwa_finance_live_invoice_lock_direction_hold_v4;kwa_jobs_live_email_block_resume_hold_v5;kwa_jobs_live_phone_patch_resume_hold_v4
