system_id,lane,episode_id,role_family,real_world_readiness_score,strict_interface_score,recovered_execution_score,controller_repair_count,argument_repair_count,controller_fallback_count,intent_override_count,raw_planning_clean_rate,planning_turns,repair_notes,repair_note_counts,failed_tools,failure_modes,raw_planning_sample,failure_candidate
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,live_web_stress,kwa_jobs_live_visual_constraint_override_hold_v2,job_application_ops,0.8477,0.8125,0.5,0.0,0.0,0.0,0.0,1.0,1,,,,visual_stepwise_control,"{""name"": ""extract_layout"", ""arguments"": {""image_id"": ""img-form-live-phone"", ""target_query"": ""phone issue""}}",True
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,live_web_stress,kwa_finance_live_visual_invoice_revision_hold_v2,finance,0.8542,0.8125,0.5,0.0,0.0,0.0,0.0,1.0,2,,,,visual_stepwise_control,"extract_layout(image_id=""img-invoice-live"", target_query=""invoice totals table"") | {""name"": ""extract_layout"", ""arguments"": {""image_id"": ""img-slide-live"", ""target_query"": ""latest approval-safe action callout""}}",True
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,live_web_stress,kwa_exec_live_visual_dashboard_brief,executive_assistant,0.8588,0.6875,0.5,0.0,0.0,0.0,0.0,1.0,1,,,visual_016_live_dashboard_stale_selection_recovery:read_region_text,visual_stepwise_control,"{""name"": ""extract_layout"", ""arguments"": {""image_id"": ""img-dashboard-live-stale"", ""target_query"": ""metric panels that need review""}}",True
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,live_web_stress,kwa_exec_live_latest_action_resume_hold_v4,executive_assistant,0.7899,0.6875,0.5,0.5,0.0,0.5,0.0,0.5,2,controller_fallback_planner,controller_fallback_planner=1,tool_014_exec_api_latest_action_hold:api_fetch_record,fallback_planner;visual_stepwise_control,"{""name"": ""api_fetch_record"", ""arguments"": {""record_type"": ""BR"", ""record_id"": ""17""}} | {""name"": ""refine_selection"", ""arguments"": {""selection_id"": ""initial_selection"", ""filter_query"": ""customer ops panel""}}",True
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,live_web_stress,kwa_jobs_live_phone_patch_resume_hold_v4,job_application_ops,0.8009,0.6875,0.5,0.5,0.0,0.5,0.0,0.5,2,controller_fallback_planner,controller_fallback_planner=1,tool_018_jobs_api_latest_form_issue:api_fetch_record,fallback_planner;visual_stepwise_control,"{""name"": ""api_fetch_record"", ""arguments"": {""record_type"": ""FORM-88"", ""record_id"": ""latest""}} | {""name"": ""refine_selection"", ""arguments"": {""selection_id"": ""latest_form_issue"", ""filter_query"": ""phone issue""}}",True
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,live_web_stress,kwa_finance_live_invoice_lock_direction_hold_v4,finance,0.787,0.6875,0.5,0.0,0.0,0.0,0.0,1.0,2,,,tool_019_finance_cli_log_search_latest_lock:cli_search_logs,,"{""name"": ""cli_search_logs"", ""arguments"": {""path"": ""billing.log"", ""query"": ""invoice-lock failure""}} | extract_layout(image_id=""img-invoice-live"", target_query=""invoice totals table"")",True
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,live_web_stress,kwa_exec_live_backlog_resume_hold_v5,executive_assistant,0.7899,0.6875,0.5,0.5,0.0,0.5,0.0,0.5,2,controller_fallback_planner,controller_fallback_planner=1,tool_020_exec_api_read_only_latest_action:api_fetch_record,fallback_planner;visual_stepwise_control,"{""name"": ""api_fetch_record"", ""arguments"": {""record_type"": ""BR"", ""record_id"": ""18""}} | <|channel>thought The user wants to perform a sequence of operations on a visual dashboard: 1.  Start with the entire dashboard (implied, but the promp...",True
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,live_web_stress,kwa_jobs_live_email_block_resume_hold_v5,job_application_ops,0.8681,0.8125,0.5,0.5,0.0,0.5,0.0,0.5,2,controller_fallback_planner,controller_fallback_planner=1,,fallback_planner;visual_stepwise_control,"{""name"": ""cli_apply_patch"", ""arguments"": {""path"": ""config/job_form.yaml"", ""patch"": ""email validation stays blocked until review""}} | ""extract_layout"": {""image_id"": ""img-form-blocked-email-live"", ""target_query"": ""latest form issues, then ...",True
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,live_web_stress,kwa_finance_live_diff_review_hold_v5,finance,0.787,0.6875,0.5,0.0,0.0,0.0,0.0,1.0,2,,,tool_016_finance_api_invoice_lock_update:api_update_record,,"{""name"": ""cli_inspect_diff"", ""arguments"": {""diff_id"": ""invoice_lock_resume_diff_v2""}} | {""name"": ""api_update_record"", ""arguments"": {""record_type"": ""invoice"", ""record_id"": ""INV-204"", ""field"": ""invoice_lock"", ""value"": ""on hold""}}",True
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,live_web_stress,kwa_exec_live_visual_dashboard_referent_hold_v3,executive_assistant,0.7722,0.625,0.5,0.0,0.0,0.0,0.0,1.0,1,controller_fallback_disabled,controller_fallback_disabled=1,,fallback_disabled,"{""name"": ""refine_selection"", ""arguments"": {""selection_id"": ""initial_selection"", ""filter_query"": ""customer ops panel""}}",True
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,live_web_stress,kwa_exec_live_latest_action_resume_hold_v4,executive_assistant,0.8257,0.625,0.5,0.5,0.5,0.0,0.0,0.5,2,controller_fallback_disabled;repaired_arguments:api_fetch_record,controller_fallback_disabled=1;repaired_arguments:api_fetch_record=1,,fallback_disabled;argument_repair,"{""name"": ""api_fetch_record"", ""arguments"": {""record_type"": ""BR"", ""record_id"": ""17""}} | {""name"": ""refine_selection"", ""arguments"": {""selection_id"": ""initial_selection"", ""filter_query"": ""customer ops panel""}}",True
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,live_web_stress,kwa_jobs_live_phone_patch_resume_hold_v4,job_application_ops,0.8368,0.625,0.5,0.5,0.5,0.0,0.0,0.5,2,controller_fallback_disabled;repaired_arguments:api_fetch_record,controller_fallback_disabled=1;repaired_arguments:api_fetch_record=1,,fallback_disabled;argument_repair,"{""name"": ""api_fetch_record"", ""arguments"": {""record_type"": ""FORM-88"", ""record_id"": ""latest""}} | {""name"": ""refine_selection"", ""arguments"": {""selection_id"": ""latest_form_issue"", ""filter_query"": ""phone issue""}}",True
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,live_web_stress,kwa_exec_live_backlog_resume_hold_v5,executive_assistant,0.8257,0.625,0.5,0.5,0.5,0.0,0.0,0.5,2,controller_fallback_disabled;repaired_arguments:api_fetch_record,controller_fallback_disabled=1;repaired_arguments:api_fetch_record=1,,fallback_disabled;argument_repair,"{""name"": ""api_fetch_record"", ""arguments"": {""record_type"": ""BR"", ""record_id"": ""18""}} | <|channel>thought The user wants to perform a sequence of operations on a visual dashboard: 1.  Start with the entire dashboard (implied, but the promp...",True
