system_id,note,count,episode_count,task_count,episodes
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,controller_fallback_planner,5,5,5,kwa_exec_live_backlog_resume_hold_v5;kwa_exec_live_latest_action_resume_hold_v4;kwa_exec_live_visual_dashboard_referent_hold_v3;kwa_jobs_live_email_block_resume_hold_v5;kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,repaired_arguments:api_fetch_record,3,3,3,kwa_exec_live_backlog_resume_hold_v5;kwa_exec_live_latest_action_resume_hold_v4;kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,repaired_arguments:api_update_record,1,1,1,kwa_finance_live_diff_review_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,repaired_arguments:cli_apply_patch,1,1,1,kwa_jobs_live_email_block_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,repaired_arguments:cli_search_logs,1,1,1,kwa_finance_live_invoice_lock_direction_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,repaired_arguments:extract_layout,3,3,3,kwa_exec_live_visual_dashboard_brief;kwa_finance_live_visual_invoice_revision_hold_v2;kwa_jobs_live_visual_constraint_override_hold_v2
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,controller_fallback_planner,5,5,5,kwa_exec_live_backlog_resume_hold_v5;kwa_exec_live_latest_action_resume_hold_v4;kwa_exec_live_visual_dashboard_referent_hold_v3;kwa_jobs_live_email_block_resume_hold_v5;kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,controller_fallback_disabled,5,5,5,kwa_exec_live_backlog_resume_hold_v5;kwa_exec_live_latest_action_resume_hold_v4;kwa_exec_live_visual_dashboard_referent_hold_v3;kwa_jobs_live_email_block_resume_hold_v5;kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,repaired_arguments:api_fetch_record,3,3,3,kwa_exec_live_backlog_resume_hold_v5;kwa_exec_live_latest_action_resume_hold_v4;kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,repaired_arguments:api_update_record,1,1,1,kwa_finance_live_diff_review_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,repaired_arguments:cli_apply_patch,1,1,1,kwa_jobs_live_email_block_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,repaired_arguments:cli_search_logs,1,1,1,kwa_finance_live_invoice_lock_direction_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,repaired_arguments:extract_layout,3,3,3,kwa_exec_live_visual_dashboard_brief;kwa_finance_live_visual_invoice_revision_hold_v2;kwa_jobs_live_visual_constraint_override_hold_v2
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_repair,controller_fallback_planner,14,7,7,kwa_exec_live_backlog_resume_hold_v5;kwa_exec_live_latest_action_resume_hold_v4;kwa_exec_live_visual_dashboard_referent_hold_v3;kwa_finance_live_visual_invoice_revision_hold_v2;kwa_jobs_live_email_block_resume_hold_v5;kwa_jobs_live_phone_patch_resume_hold_v4;kwa_jobs_live_visual_constraint_override_hold_v2
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_repair,controller_repair_disabled,43,10,17,kwa_exec_live_backlog_resume_hold_v5;kwa_exec_live_latest_action_resume_hold_v4;kwa_exec_live_visual_dashboard_brief;kwa_exec_live_visual_dashboard_referent_hold_v3;kwa_finance_live_diff_review_hold_v5;kwa_finance_live_invoice_lock_direction_hold_v4;kwa_finance_live_visual_invoice_revision_hold_v2;kwa_jobs_live_email_block_resume_hold_v5;kwa_jobs_live_phone_patch_resume_hold_v4;kwa_jobs_live_visual_constraint_override_hold_v2
