system_id,note,baseline_count,candidate_count,delta_count
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,controller_fallback_planner,2.0,5.0,3.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,repaired_arguments:api_fetch_record,1.0,3.0,2.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,repaired_arguments:api_update_record,1.0,1.0,0.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,repaired_arguments:cli_apply_patch,1.0,1.0,0.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,repaired_arguments:cli_search_logs,1.0,1.0,0.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,repaired_arguments:extract_layout,1.0,3.0,2.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,controller_fallback_planner,2.0,5.0,3.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,controller_fallback_disabled,2.0,5.0,3.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,repaired_arguments:api_fetch_record,1.0,3.0,2.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,repaired_arguments:api_update_record,1.0,1.0,0.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,repaired_arguments:cli_apply_patch,1.0,1.0,0.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,repaired_arguments:cli_search_logs,1.0,1.0,0.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,repaired_arguments:extract_layout,1.0,3.0,2.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_repair,controller_fallback_planner,5.0,14.0,9.0
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_repair,controller_repair_disabled,20.0,43.0,23.0
