system_id,workflow_id,role_family,h1_stressors,episode_count,failure_candidate_count,failure_modes,real_world_readiness_avg,strict_interface_avg,recovered_execution_avg,controller_repair_avg,controller_fallback_avg,argument_repair_avg,raw_planning_clean_rate_avg,episodes
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,executive_latest_action_resume,executive_assistant,project_memory_resume;visual_latest_action;approval_safe_stop,1,1,fallback_planner;visual_stepwise_control,0.7899,0.6875,0.5,0.5,0.5,0.0,0.5,kwa_exec_live_latest_action_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,executive_stale_brief_packet,executive_assistant,project_memory_resume;approval_safe_stop;direction_following_latest_instruction,1,1,fallback_planner;visual_stepwise_control,0.7899,0.6875,0.5,0.5,0.5,0.0,0.5,kwa_exec_live_backlog_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,jobs_phone_patch_resume,job_application_ops,api_canonicalization;visual_referent_carryover;cli_patch_only,1,1,fallback_planner;visual_stepwise_control,0.8009,0.6875,0.5,0.5,0.5,0.0,0.5,kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_argument_repair,jobs_visual_form_hold,job_application_ops,cli_canonicalization;visual_stepwise_control;approval_safe_stop,1,1,fallback_planner;visual_stepwise_control,0.8681,0.8125,0.5,0.5,0.5,0.0,0.5,kwa_jobs_live_email_block_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,executive_latest_action_resume,executive_assistant,project_memory_resume;visual_latest_action;approval_safe_stop,1,1,argument_repair;fallback_disabled,0.8257,0.625,0.5,0.5,0.0,0.5,0.5,kwa_exec_live_latest_action_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,executive_stale_brief_packet,executive_assistant,project_memory_resume;approval_safe_stop;direction_following_latest_instruction,1,1,argument_repair;fallback_disabled,0.8257,0.625,0.5,0.5,0.0,0.5,0.5,kwa_exec_live_backlog_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,jobs_phone_patch_resume,job_application_ops,api_canonicalization;visual_referent_carryover;cli_patch_only,1,1,argument_repair;fallback_disabled,0.8368,0.625,0.5,0.5,0.0,0.5,0.5,kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_fallback,jobs_visual_form_hold,job_application_ops,cli_canonicalization;visual_stepwise_control;approval_safe_stop,1,1,argument_repair;fallback_disabled,0.8368,0.625,0.5,0.5,0.0,0.5,0.5,kwa_jobs_live_email_block_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_repair,executive_latest_action_resume,executive_assistant,project_memory_resume;visual_latest_action;approval_safe_stop,1,1,fallback_planner;repair_disabled;visual_readback_missing;visual_repeated_refinement;visual_stepwise_control,0.6232,0.1875,0.0,1.0,1.0,0.0,0.75,kwa_exec_live_latest_action_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_repair,executive_stale_brief_packet,executive_assistant,project_memory_resume;approval_safe_stop;direction_following_latest_instruction,1,1,fallback_planner;repair_disabled;visual_stepwise_control,0.6753,0.5,0.0,1.5,1.5,0.0,0.7,kwa_exec_live_backlog_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_repair,jobs_phone_patch_resume,job_application_ops,api_canonicalization;visual_referent_carryover;cli_patch_only,1,1,fallback_planner;repair_disabled;visual_readback_missing;visual_repeated_refinement;visual_stepwise_control,0.6343,0.1875,0.0,1.0,1.0,0.0,0.75,kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_no_controller_repair,jobs_visual_form_hold,job_application_ops,cli_canonicalization;visual_stepwise_control;approval_safe_stop,1,1,fallback_planner;repair_disabled;visual_repeated_refinement;visual_stepwise_control,0.6551,0.3125,0.0,1.5,1.5,0.0,0.7,kwa_jobs_live_email_block_resume_hold_v5
