system_id,workflow_id,role_family,h1_stressors,episode_count,failure_candidate_count,failure_modes,real_world_readiness_avg,strict_interface_avg,recovered_execution_avg,controller_repair_avg,controller_fallback_avg,argument_repair_avg,raw_planning_clean_rate_avg,episodes
mlx_gemma4_e2b_reasoner_only,executive_latest_action_resume,executive_assistant,project_memory_resume;visual_latest_action;approval_safe_stop,1,0,,0.9716,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_latest_action_resume_hold_v4
mlx_gemma4_e2b_reasoner_only,executive_stale_brief_packet,executive_assistant,project_memory_resume;approval_safe_stop;direction_following_latest_instruction,1,0,,0.9716,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_backlog_resume_hold_v5
mlx_gemma4_e2b_reasoner_only,jobs_phone_patch_resume,job_application_ops,api_canonicalization;visual_referent_carryover;cli_patch_only,1,0,,0.9826,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only,jobs_visual_form_hold,job_application_ops,cli_canonicalization;visual_stepwise_control;approval_safe_stop,1,0,,0.9826,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_email_block_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,executive_latest_action_resume,executive_assistant,project_memory_resume;visual_latest_action;approval_safe_stop,1,0,,0.9716,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_latest_action_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,executive_stale_brief_packet,executive_assistant,project_memory_resume;approval_safe_stop;direction_following_latest_instruction,1,0,,0.9716,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_backlog_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,jobs_phone_patch_resume,job_application_ops,api_canonicalization;visual_referent_carryover;cli_patch_only,1,0,,0.9826,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,jobs_visual_form_hold,job_application_ops,cli_canonicalization;visual_stepwise_control;approval_safe_stop,1,0,,0.9826,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_email_block_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard,executive_latest_action_resume,executive_assistant,project_memory_resume;visual_latest_action;approval_safe_stop,1,0,,0.9716,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_latest_action_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard,executive_stale_brief_packet,executive_assistant,project_memory_resume;approval_safe_stop;direction_following_latest_instruction,1,0,,0.9716,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_backlog_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard,jobs_phone_patch_resume,job_application_ops,api_canonicalization;visual_referent_carryover;cli_patch_only,1,0,,0.9826,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard,jobs_visual_form_hold,job_application_ops,cli_canonicalization;visual_stepwise_control;approval_safe_stop,1,0,,0.9826,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_email_block_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor,executive_latest_action_resume,executive_assistant,project_memory_resume;visual_latest_action;approval_safe_stop,1,0,,0.9716,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_latest_action_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor,executive_stale_brief_packet,executive_assistant,project_memory_resume;approval_safe_stop;direction_following_latest_instruction,1,0,,0.9716,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_backlog_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor,jobs_phone_patch_resume,job_application_ops,api_canonicalization;visual_referent_carryover;cli_patch_only,1,0,,0.9826,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor,jobs_visual_form_hold,job_application_ops,cli_canonicalization;visual_stepwise_control;approval_safe_stop,1,0,,0.9826,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_email_block_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required,executive_latest_action_resume,executive_assistant,project_memory_resume;visual_latest_action;approval_safe_stop,1,0,,0.9716,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_latest_action_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required,executive_stale_brief_packet,executive_assistant,project_memory_resume;approval_safe_stop;direction_following_latest_instruction,1,0,,0.9716,1.0,1.0,0.0,0.0,0.0,1.0,kwa_exec_live_backlog_resume_hold_v5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required,jobs_phone_patch_resume,job_application_ops,api_canonicalization;visual_referent_carryover;cli_patch_only,1,0,,0.9826,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_phone_patch_resume_hold_v4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required,jobs_visual_form_hold,job_application_ops,cli_canonicalization;visual_stepwise_control;approval_safe_stop,1,0,,0.9826,1.0,1.0,0.0,0.0,0.0,1.0,kwa_jobs_live_email_block_resume_hold_v5
