run_id,episode_id,role_family,lane,workspace_id,benchmark_tags,artifact_quality_score,browser_workflow_score,strict_interface_score,recovered_execution_score,revision_responsiveness,memory_retention_score,escalation_correctness,collateral_damage_free,human_time_ratio,controller_repair_count,argument_repair_count,controller_fallback_count,intent_override_count,raw_planning_clean_rate,role_readiness_score
20260412T192745288324Z_episode_kwa_exec_live_visual_dashboard_revision_hold_v2,kwa_exec_live_visual_dashboard_revision_hold_v2,executive_assistant,live_web_stress,exec-live-visual-dashboard-revision-hold-v2,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,revision_pressure",0.875,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,1.5,1.5,0.0,0.0,0.625,0.9687
20260412T192745696496Z_episode_kwa_exec_live_visual_dashboard_referent_hold_v3,kwa_exec_live_visual_dashboard_referent_hold_v3,executive_assistant,live_web_stress,exec-live-visual-dashboard-referent-hold-v3,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,revision_pressure,latest_filter",0.8421,1.0,1.0,1.0,0.7292,0.6667,1.0,1.0,0.16,1.5,1.5,0.0,0.0,0.625,0.9181
20260412T192746153519Z_episode_kwa_exec_live_calendar_policy,kwa_exec_live_calendar_policy,executive_assistant,live_web_stress,exec-live-calendar-policy,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.0,0.0,0.0,0.0,1.0,1.0
20260412T192746155759Z_episode_kwa_exec_live_send_hold,kwa_exec_live_send_hold,executive_assistant,live_web_stress,exec-live-send-hold,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260412T192746398566Z_episode_kwa_jobs_live_requirements_extract,kwa_jobs_live_requirements_extract,job_application_ops,live_web_stress,jobs-live-requirements,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.0,0.0,0.0,0.0,1.0,1.0
20260412T192746525615Z_episode_kwa_jobs_live_visual_constraint_override_hold_v2,kwa_jobs_live_visual_constraint_override_hold_v2,job_application_ops,live_web_stress,jobs-live-visual-constraint-override-hold-v2,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,latest_constraint",0.9,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,1.0,1.0,0.0,0.0,0.6667,0.9623
20260412T192746953696Z_episode_kwa_jobs_live_visual_latest_issue_hold_v3,kwa_jobs_live_visual_latest_issue_hold_v3,job_application_ops,live_web_stress,jobs-live-visual-latest-issue-hold-v3,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,referent_carryover",0.9,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,1.5,1.5,0.0,0.0,0.625,0.9623
20260412T192747369800Z_episode_kwa_jobs_live_submission_hold,kwa_jobs_live_submission_hold,job_application_ops,live_web_stress,jobs-live-submission-hold,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260412T192747678943Z_episode_kwa_finance_live_visual_invoice_revision_hold_v2,kwa_finance_live_visual_invoice_revision_hold_v2,finance,live_web_stress,finance-live-visual-invoice-revision-hold-v2,"knowledge_work_arena,live_web_stress,finance,visual_document,visual_kwa,revision_pressure",0.875,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.0889,1.5,1.5,0.0,0.0,0.4167,0.9687
20260412T192748094310Z_episode_kwa_finance_live_comps_revision,kwa_finance_live_comps_revision,finance,live_web_stress,finance-live-comps,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0444,0.0,0.0,0.0,0.0,1.0,1.0
20260412T192748341586Z_episode_kwa_finance_live_committee_hold,kwa_finance_live_committee_hold,finance,live_web_stress,finance-live-committee-hold,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,1.0
20260412T192748470821Z_episode_kwa_exec_live_vendor_access_hold,kwa_exec_live_vendor_access_hold,executive_assistant,live_web_stress,exec-live-vendor-access-hold,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260412T192748753676Z_episode_kwa_jobs_live_screening_hold,kwa_jobs_live_screening_hold,job_application_ops,live_web_stress,jobs-live-screening-hold,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260412T192749060855Z_episode_kwa_finance_live_billing_patch_hold,kwa_finance_live_billing_patch_hold,finance,live_web_stress,finance-live-billing-patch-hold,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,1.0
20260412T192749193808Z_episode_kwa_exec_live_stale_brief_hold,kwa_exec_live_stale_brief_hold,executive_assistant,live_web_stress,exec-live-stale-brief-hold,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260412T192749446494Z_episode_kwa_jobs_live_constraint_hold,kwa_jobs_live_constraint_hold,job_application_ops,live_web_stress,jobs-live-constraint-hold,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260412T192749761594Z_episode_kwa_finance_live_stale_assumption_hold,kwa_finance_live_stale_assumption_hold,finance,live_web_stress,finance-live-stale-assumption-hold,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,1.0
20260412T192749886699Z_episode_kwa_exec_live_visual_dashboard_brief,kwa_exec_live_visual_dashboard_brief,executive_assistant,live_web_stress,exec-live-visual-dashboard-brief,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa",1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,1.5,1.5,0.0,0.0,0.625,0.9942
20260412T192750258294Z_episode_kwa_jobs_live_visual_form_hold,kwa_jobs_live_visual_form_hold,job_application_ops,live_web_stress,jobs-live-visual-form-hold,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa",1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,1.0,1.0,0.0,0.0,0.6667,0.9826
