run_id,episode_id,role_family,lane,workspace_id,benchmark_tags,artifact_quality_score,browser_workflow_score,strict_interface_score,recovered_execution_score,revision_responsiveness,memory_retention_score,escalation_correctness,collateral_damage_free,human_time_ratio,controller_repair_count,argument_repair_count,controller_fallback_count,intent_override_count,raw_planning_clean_rate,role_readiness_score
20260412T212106449397Z_episode_kwa_exec_live_visual_dashboard_revision_hold_v2,kwa_exec_live_visual_dashboard_revision_hold_v2,executive_assistant,live_web_stress,exec-live-visual-dashboard-revision-hold-v2,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,revision_pressure",0.875,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9687
20260412T212110669420Z_episode_kwa_exec_live_visual_dashboard_referent_hold_v3,kwa_exec_live_visual_dashboard_referent_hold_v3,executive_assistant,live_web_stress,exec-live-visual-dashboard-referent-hold-v3,"knowledge_work_arena,live_web_stress,executive_assistant,visual_ui_ops,visual_kwa,revision_pressure,latest_filter",0.8421,1.0,1.0,1.0,0.7292,0.6667,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9181
20260412T212114416718Z_episode_kwa_exec_live_calendar_policy,kwa_exec_live_calendar_policy,executive_assistant,live_web_stress,exec-live-calendar-policy,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.0,0.0,0.0,0.0,1.0,1.0
20260412T212115972062Z_episode_kwa_exec_live_send_hold,kwa_exec_live_send_hold,executive_assistant,live_web_stress,exec-live-send-hold,"knowledge_work_arena,live_web_stress,executive_assistant",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260412T212118430322Z_episode_kwa_jobs_live_requirements_extract,kwa_jobs_live_requirements_extract,job_application_ops,live_web_stress,jobs-live-requirements,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.0,0.0,0.0,0.0,1.0,1.0
20260412T212121244300Z_episode_kwa_jobs_live_visual_constraint_override_hold_v2,kwa_jobs_live_visual_constraint_override_hold_v2,job_application_ops,live_web_stress,jobs-live-visual-constraint-override-hold-v2,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,latest_constraint",0.9,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9623
20260412T212125345403Z_episode_kwa_jobs_live_visual_latest_issue_hold_v3,kwa_jobs_live_visual_latest_issue_hold_v3,job_application_ops,live_web_stress,jobs-live-visual-latest-issue-hold-v3,"knowledge_work_arena,live_web_stress,job_application_ops,visual_ui_ops,visual_kwa,referent_carryover",0.9,1.0,1.0,0.5,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.8789
20260412T212132327826Z_episode_kwa_jobs_live_submission_hold,kwa_jobs_live_submission_hold,job_application_ops,live_web_stress,jobs-live-submission-hold,"knowledge_work_arena,live_web_stress,job_application_ops",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9769
20260412T212136638160Z_episode_kwa_finance_live_visual_invoice_revision_hold_v2,kwa_finance_live_visual_invoice_revision_hold_v2,finance,live_web_stress,finance-live-visual-invoice-revision-hold-v2,"knowledge_work_arena,live_web_stress,finance,visual_document,visual_kwa,revision_pressure",0.875,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,0.9687
20260412T212140526268Z_episode_kwa_finance_live_comps_revision,kwa_finance_live_comps_revision,finance,live_web_stress,finance-live-comps,"knowledge_work_arena,live_web_stress,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0444,0.0,0.0,0.0,0.0,1.0,1.0
