label,family,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate,no_tool_call_count,argument_mismatch_count,executable_paraphrase_count
no_directive,h1o_activation_no_call,4,4,1.0,4,1.0,0,0,0
no_directive,h1o_code_negation_preservation,4,1,0.25,2,0.5,2,0,1
no_directive,h1o_component_value_boundary,4,0,0.0,0,0.0,1,3,0
argument_hints_v2,h1o_activation_no_call,4,4,1.0,4,1.0,0,0,0
argument_hints_v2,h1o_code_negation_preservation,4,3,0.75,4,1.0,0,0,1
argument_hints_v2,h1o_component_value_boundary,4,2,0.5,2,0.5,1,1,0
hybrid_label_guard_v8,h1o_activation_no_call,4,4,1.0,4,1.0,0,0,0
hybrid_label_guard_v8,h1o_code_negation_preservation,4,3,0.75,4,1.0,0,0,1
hybrid_label_guard_v8,h1o_component_value_boundary,4,1,0.25,2,0.5,0,2,1
no_call_control_rescue_v10,h1o_activation_no_call,4,3,0.75,3,0.75,1,0,0
no_call_control_rescue_v10,h1o_code_negation_preservation,4,2,0.5,3,0.75,0,1,1
no_call_control_rescue_v10,h1o_component_value_boundary,4,2,0.5,2,0.5,0,2,0
oblique_code_guard_v7,h1o_activation_no_call,4,4,1.0,4,1.0,0,0,0
oblique_code_guard_v7,h1o_code_negation_preservation,4,3,0.75,4,1.0,0,0,1
oblique_code_guard_v7,h1o_component_value_boundary,4,1,0.25,1,0.25,0,3,0
component_value_guard_v9,h1o_activation_no_call,4,4,1.0,4,1.0,0,0,0
component_value_guard_v9,h1o_code_negation_preservation,4,3,0.75,4,1.0,0,0,1
component_value_guard_v9,h1o_component_value_boundary,4,2,0.5,2,0.5,0,2,0
