profile_label,case_id,family,failure_mode,executor_equivalence_match
no_directive,h1r_owner_field_stale_selection_note_decoy,h1r_stale_selection_component_label,no_tool_call,False
no_directive,h1r_assignee_field_previous_selection_summary_decoy,h1r_stale_selection_component_label,no_tool_call,False
no_directive,h1r_state_tag_log_value_decoy,h1r_nonstandard_component_class,argument_mismatch,False
no_directive,h1r_mode_toggle_note_value_decoy,h1r_nonstandard_component_class,argument_mismatch,False
no_directive,h1r_alert_s92_toggle_negation_decoy,h1r_code_label_exactness,executable_paraphrase,True
no_directive,h1r_badge_c08_note_decoy,h1r_code_label_exactness,no_tool_call,False
component_label_guard_v11,h1r_alert_s92_toggle_negation_decoy,h1r_code_label_exactness,argument_mismatch,False
conditional_residual_route_v13,h1r_state_tag_log_value_decoy,h1r_nonstandard_component_class,argument_mismatch,False
conditional_residual_route_v13,h1r_mode_toggle_note_value_decoy,h1r_nonstandard_component_class,argument_mismatch,False
conditional_residual_route_v13,h1r_alert_s92_toggle_negation_decoy,h1r_code_label_exactness,argument_mismatch,False
nonstandard_component_class_guard_v14,h1r_alert_s92_toggle_negation_decoy,h1r_code_label_exactness,argument_mismatch,False
