packet_label,profile_label,family,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h1n_component_value,no_directive,visual_argument_transfer_component_value_nonpill,3,1,0.3333333333333333,2,0.6666666666666666
h1n_component_value,no_directive,visual_argument_transfer_component_value_pill,3,3,1.0,3,1.0
h1n_component_value,no_directive,visual_tool_routing_component_value,2,1,0.5,1,0.5
h1n_component_value,component_label_guard_v11,visual_argument_transfer_component_value_nonpill,3,3,1.0,3,1.0
h1n_component_value,component_label_guard_v11,visual_argument_transfer_component_value_pill,3,2,0.6666666666666666,3,1.0
h1n_component_value,component_label_guard_v11,visual_tool_routing_component_value,2,1,0.5,1,0.5
h1n_component_value,component_residual_guard_v12,visual_argument_transfer_component_value_nonpill,3,2,0.6666666666666666,2,0.6666666666666666
h1n_component_value,component_residual_guard_v12,visual_argument_transfer_component_value_pill,3,1,0.3333333333333333,1,0.3333333333333333
h1n_component_value,component_residual_guard_v12,visual_tool_routing_component_value,2,2,1.0,2,1.0
h1n_component_value,code_label_exact_guard_v15,visual_argument_transfer_component_value_nonpill,3,2,0.6666666666666666,2,0.6666666666666666
h1n_component_value,code_label_exact_guard_v15,visual_argument_transfer_component_value_pill,3,2,0.6666666666666666,2,0.6666666666666666
h1n_component_value,code_label_exact_guard_v15,visual_tool_routing_component_value,2,1,0.5,1,0.5
h1o_control_factorial,no_directive,h1o_activation_no_call,4,4,1.0,4,1.0
h1o_control_factorial,no_directive,h1o_code_negation_preservation,4,1,0.25,2,0.5
h1o_control_factorial,no_directive,h1o_component_value_boundary,4,0,0.0,0,0.0
h1o_control_factorial,component_label_guard_v11,h1o_activation_no_call,4,4,1.0,4,1.0
h1o_control_factorial,component_label_guard_v11,h1o_code_negation_preservation,4,2,0.5,4,1.0
h1o_control_factorial,component_label_guard_v11,h1o_component_value_boundary,4,4,1.0,4,1.0
h1o_control_factorial,component_residual_guard_v12,h1o_activation_no_call,4,3,0.75,3,0.75
h1o_control_factorial,component_residual_guard_v12,h1o_code_negation_preservation,4,4,1.0,4,1.0
h1o_control_factorial,component_residual_guard_v12,h1o_component_value_boundary,4,4,1.0,4,1.0
h1o_control_factorial,code_label_exact_guard_v15,h1o_activation_no_call,4,3,0.75,3,0.75
h1o_control_factorial,code_label_exact_guard_v15,h1o_code_negation_preservation,4,4,1.0,4,1.0
h1o_control_factorial,code_label_exact_guard_v15,h1o_component_value_boundary,4,4,1.0,4,1.0
h1p_component_value,no_directive,h1p_component_value_compact,4,0,0.0,0,0.0
h1p_component_value,no_directive,h1p_component_value_stale_selection,4,0,0.0,0,0.0
h1p_component_value,no_directive,h1p_component_value_surface,4,0,0.0,0,0.0
h1p_component_value,component_label_guard_v11,h1p_component_value_compact,4,3,0.75,3,0.75
h1p_component_value,component_label_guard_v11,h1p_component_value_stale_selection,4,4,1.0,4,1.0
h1p_component_value,component_label_guard_v11,h1p_component_value_surface,4,3,0.75,3,0.75
h1p_component_value,component_residual_guard_v12,h1p_component_value_compact,4,4,1.0,4,1.0
h1p_component_value,component_residual_guard_v12,h1p_component_value_stale_selection,4,3,0.75,3,0.75
h1p_component_value,component_residual_guard_v12,h1p_component_value_surface,4,4,1.0,4,1.0
h1p_component_value,code_label_exact_guard_v15,h1p_component_value_compact,4,3,0.75,3,0.75
h1p_component_value,code_label_exact_guard_v15,h1p_component_value_stale_selection,4,4,1.0,4,1.0
h1p_component_value,code_label_exact_guard_v15,h1p_component_value_surface,4,2,0.5,2,0.5
