profile_label,case_id,family,failure_mode,executor_equivalence_match,output_dir
no_directive,h1w_owner_field_memo_stale_selection_decoy,h1w_stale_field_routing,no_tool_call,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1w_residual_overlap_no_directive_execute_v1/runs/h1w_owner_field_memo_stale_selection_decoy
no_directive,h1w_assignee_field_archive_summary_decoy,h1w_stale_field_routing,no_tool_call,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1w_residual_overlap_no_directive_execute_v1/runs/h1w_assignee_field_archive_summary_decoy
no_directive,h1w_state_tag_audit_log_value_decoy,h1w_nonstandard_component_class,argument_mismatch,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1w_residual_overlap_no_directive_execute_v1/runs/h1w_state_tag_audit_log_value_decoy
no_directive,h1w_mode_toggle_settings_note_decoy,h1w_nonstandard_component_class,no_tool_call,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1w_residual_overlap_no_directive_execute_v1/runs/h1w_mode_toggle_settings_note_decoy
no_directive,h1w_result_badge_comment_value_decoy,h1w_surface_component_value,no_tool_call,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1w_residual_overlap_no_directive_execute_v1/runs/h1w_result_badge_comment_value_decoy
no_directive,h1w_status_pill_summary_value_decoy,h1w_surface_component_value,argument_mismatch,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1w_residual_overlap_no_directive_execute_v1/runs/h1w_status_pill_summary_value_decoy
no_directive,h1w_warning_tile_no_call_note_decoy,h1w_activation_no_call,no_tool_call,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1w_residual_overlap_no_directive_execute_v1/runs/h1w_warning_tile_no_call_note_decoy
no_directive,h1w_error_banner_no_call_history_decoy,h1w_activation_no_call,no_tool_call,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1w_residual_overlap_no_directive_execute_v1/runs/h1w_error_banner_no_call_history_decoy
component_residual_guard_v12,h1w_status_pill_summary_value_decoy,h1w_surface_component_value,argument_mismatch,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1w_residual_overlap_component_residual_guard_execute_v1/runs/h1w_status_pill_summary_value_decoy
code_label_exact_guard_v15,h1w_result_badge_comment_value_decoy,h1w_surface_component_value,argument_mismatch,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1w_residual_overlap_code_label_exact_guard_execute_v1/runs/h1w_result_badge_comment_value_decoy
code_label_exact_guard_v15,h1w_status_pill_summary_value_decoy,h1w_surface_component_value,argument_mismatch,False,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h1w_residual_overlap_code_label_exact_guard_execute_v1/runs/h1w_status_pill_summary_value_decoy
