evaluation_split,slice_id,slice_label,profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate,no_tool_call_count,argument_mismatch_count,executable_paraphrase_count
local_h1y,h1y,H1y routed residual local fit,no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1y_routed_residual_no_directive_execute_v1,10,0,0.0,0,0.0,6,4,0
local_h1y,h1y,H1y routed residual local fit,component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1y_routed_residual_component_label_guard_execute_v1,10,5,0.5,5,0.5,0,2,0
local_h1y,h1y,H1y routed residual local fit,component_residual_guard_v12,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,results/tool_probe_replay_live/20260510T_h1y_routed_residual_component_residual_guard_execute_v1,10,7,0.7,7,0.7,0,2,0
local_h1y,h1y,H1y routed residual local fit,h2a_visual_stale_selection_gate,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard_visual_stale_selection_gate,results/tool_probe_replay_live/20260510T_h2a_visual_stale_selection_gate_on_h1y_execute_v1,10,8,0.8,8,0.8,0,2,0
transfer_h1n_h1o_h1p_h1x,h1n_component_value,H1n component-value residual,no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1n_component_value_no_directive_execute_v1,8,5,0.625,6,0.75,2,0,1
transfer_h1n_h1o_h1p_h1x,h1n_component_value,H1n component-value residual,component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1q_component_label_guard_on_h1n_component_value_execute_v1,8,6,0.75,7,0.875,0,0,1
transfer_h1n_h1o_h1p_h1x,h1n_component_value,H1n component-value residual,component_residual_guard_v12,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,results/tool_probe_replay_live/20260510T_h1s_component_residual_guard_on_h1n_component_value_execute_v1,8,5,0.625,5,0.625,0,3,0
transfer_h1n_h1o_h1p_h1x,h1n_component_value,H1n component-value residual,h2a_visual_stale_selection_gate,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard_visual_stale_selection_gate,results/tool_probe_replay_live/20260510T_h2a_visual_stale_selection_gate_on_h1n_component_value_execute_v1,8,7,0.875,8,1.0,0,0,1
transfer_h1n_h1o_h1p_h1x,h1o_control_factorial,H1o control factorial,no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1o_control_factorial_no_directive_execute_v1,12,5,0.4166666666666667,6,0.5,3,3,1
transfer_h1n_h1o_h1p_h1x,h1o_control_factorial,H1o control factorial,component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1q_component_label_guard_on_h1o_control_factorial_execute_v1,12,10,0.8333333333333334,12,1.0,0,0,2
