profile_label,family,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h2q_h2e_route_arbitration,h2q_contextual_alias_decoy_overlap,2,1,0.5,1,0.5
h2q_h2e_route_arbitration,h2q_stale_surface_alias,2,0,0.0,0,0.0
h2q_h2e_route_arbitration,h2q_surface_alias_value_decoy,2,0,0.0,0,0.0
h2q_h2e_route_arbitration,h2q_value_bearing_stale_decoy,2,0,0.0,1,0.5
h2q_h2n_scoped_target_query_normalization,h2q_contextual_alias_decoy_overlap,2,0,0.0,0,0.0
h2q_h2n_scoped_target_query_normalization,h2q_stale_surface_alias,2,0,0.0,0,0.0
h2q_h2n_scoped_target_query_normalization,h2q_surface_alias_value_decoy,2,0,0.0,0,0.0
h2q_h2n_scoped_target_query_normalization,h2q_value_bearing_stale_decoy,2,0,0.0,1,0.5
h2q_h2o_value_bearing_target_query_synthesis,h2q_contextual_alias_decoy_overlap,2,0,0.0,0,0.0
h2q_h2o_value_bearing_target_query_synthesis,h2q_stale_surface_alias,2,0,0.0,0,0.0
h2q_h2o_value_bearing_target_query_synthesis,h2q_surface_alias_value_decoy,2,0,0.0,0,0.0
h2q_h2o_value_bearing_target_query_synthesis,h2q_value_bearing_stale_decoy,2,2,1.0,2,1.0
h2q_h2p_contextual_surface_alias_routing,h2q_contextual_alias_decoy_overlap,2,0,0.0,0,0.0
h2q_h2p_contextual_surface_alias_routing,h2q_stale_surface_alias,2,0,0.0,0,0.0
h2q_h2p_contextual_surface_alias_routing,h2q_surface_alias_value_decoy,2,1,0.5,1,0.5
h2q_h2p_contextual_surface_alias_routing,h2q_value_bearing_stale_decoy,2,2,1.0,2,1.0
