comparison_label,comparison_dir,shared_case_count,baseline_exact_rate,candidate_exact_rate,delta_exact_rate,baseline_executor_equivalence_rate,candidate_executor_equivalence_rate,delta_executor_equivalence_rate
h2q_h2r_vs_h2p,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2p_on_h2q_v2,8,0.375,1.0,0.625,0.375,1.0,0.625
h2m_h2r_vs_h2p,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2p_on_h2m_v1,8,1.0,1.0,0.0,1.0,1.0,0.0
h2m_h2r_vs_h2o,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2o_on_h2m_v1,8,0.875,1.0,0.125,0.875,1.0,0.125
h2k_h2r_vs_h2p,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2p_on_h2k_v2,8,1.0,1.0,0.0,1.0,1.0,0.0
h2k_h2r_vs_h2o,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2o_on_h2k_v2,8,1.0,1.0,0.0,1.0,1.0,0.0
h2l_h2r_vs_h2p,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2p_on_h2l_v2,8,1.0,1.0,0.0,1.0,1.0,0.0
h2l_h2r_vs_h2o,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2o_on_h2l_v2,8,1.0,1.0,0.0,1.0,1.0,0.0
h2f_h2r_vs_h2p,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2p_on_h2f_v1,10,1.0,1.0,0.0,1.0,1.0,0.0
h2f_h2r_vs_h2o,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2o_on_h2f_v1,10,1.0,1.0,0.0,1.0,1.0,0.0
h2f_h2r_vs_h2j,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2j_on_h2f_v1,10,1.0,1.0,0.0,1.0,1.0,0.0
h2b_h2r_vs_h2j,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2j_on_h2b_v1,5,1.0,1.0,0.0,1.0,1.0,0.0
h2b_h2r_vs_h2h,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2h_on_h2b_v1,5,0.6,1.0,0.4,0.6,1.0,0.4
h1x_h2r_vs_h2j,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2j_on_h1x_v1,8,1.0,1.0,0.0,1.0,1.0,0.0
h1x_h2r_vs_h2h,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2h_on_h1x_v1,8,0.75,1.0,0.25,0.75,1.0,0.25
h1y_h2r_vs_h2a,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2a_on_h1y_v1,10,0.8,1.0,0.19999999999999996,0.8,1.0,0.19999999999999996
h1y_h2r_vs_component_residual,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_component_residual_on_h1y_v1,10,0.7,1.0,0.30000000000000004,0.7,1.0,0.30000000000000004
h1o_h2r_vs_h1s,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h1s_on_h1o_v1,12,0.9166666666666666,1.0,0.08333333333333337,0.9166666666666666,1.0,0.08333333333333337
h1o_h2r_vs_h2a,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2a_on_h1o_v1,12,0.8333333333333334,1.0,0.16666666666666663,1.0,1.0,0.0
h1p_h2r_vs_h1s,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h1s_on_h1p_v1,12,0.9166666666666666,1.0,0.08333333333333337,0.9166666666666666,1.0,0.08333333333333337
h1p_h2r_vs_h2a,results/tool_probe_replay_live_comparisons/20260512T_h2r_composed_route_gating_vs_h2a_on_h1p_v1,12,0.8333333333333334,1.0,0.16666666666666663,0.8333333333333334,1.0,0.16666666666666663
