profile_label,family,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h2q_origin_h2r,h2q_contextual_alias_decoy_overlap,2,2,1.0,2,1.0
h2q_origin_h2r,h2q_stale_surface_alias,2,2,1.0,2,1.0
h2q_origin_h2r,h2q_surface_alias_value_decoy,2,2,1.0,2,1.0
h2q_origin_h2r,h2q_value_bearing_stale_decoy,2,2,1.0,2,1.0
h2m_transfer_h2r,h2m_contextual_alias_is_target,2,2,1.0,2,1.0
h2m_transfer_h2r,h2m_h2k_regression_guard_less_direct,2,2,1.0,2,1.0
h2m_transfer_h2r,h2m_less_direct_value_bearing_target,4,4,1.0,4,1.0
h2k_transfer_h2r,h2k_before_reading_decoy,2,2,1.0,2,1.0
h2k_transfer_h2r,h2k_code_label_overlap,2,2,1.0,2,1.0
h2k_transfer_h2r,h2k_negated_same_component_decoy,3,3,1.0,3,1.0
h2k_transfer_h2r,h2k_transfer_regression_guard,1,1,1.0,1,1.0
h2l_transfer_h2r,h2l_alias_is_target,2,2,1.0,2,1.0
h2l_transfer_h2r,h2l_h2k_regression_guard,2,2,1.0,2,1.0
h2l_transfer_h2r,h2l_value_bearing_target,4,4,1.0,4,1.0
h2f_transfer_h2r,h2f_activation_panel_notice,2,2,1.0,2,1.0
h2f_transfer_h2r,h2f_route_code_label,2,2,1.0,2,1.0
h2f_transfer_h2r,h2f_route_component_class_transfer,2,2,1.0,2,1.0
h2f_transfer_h2r,h2f_route_nonstandard_class,2,2,1.0,2,1.0
h2f_transfer_h2r,h2f_route_stale_field,2,2,1.0,2,1.0
h2b_regression_h2r,h1o_code_negation_preservation,2,2,1.0,2,1.0
h2b_regression_h2r,h1p_component_value_compact,1,1,1.0,1,1.0
h2b_regression_h2r,h1p_component_value_surface,1,1,1.0,1,1.0
h2b_regression_h2r,visual_argument_transfer_component_value_pill,1,1,1.0,1,1.0
h1x_regression_h2r,h1x_oblique_activation_no_call,2,2,1.0,2,1.0
h1x_regression_h2r,h1x_oblique_nonstandard_class,2,2,1.0,2,1.0
h1x_regression_h2r,h1x_oblique_stale_field,2,2,1.0,2,1.0
h1x_regression_h2r,h1x_oblique_surface_value,2,2,1.0,2,1.0
h1y_transfer_h2r,h1y_activation_no_call,1,1,1.0,1,1.0
h1y_transfer_h2r,h1y_preserve_surface_value,2,2,1.0,2,1.0
h1y_transfer_h2r,h1y_route_code_label,2,2,1.0,2,1.0
h1y_transfer_h2r,h1y_route_nonstandard_class,2,2,1.0,2,1.0
h1y_transfer_h2r,h1y_route_stale_field,3,3,1.0,3,1.0
h1o_transfer_h2r,h1o_activation_no_call,4,4,1.0,4,1.0
h1o_transfer_h2r,h1o_code_negation_preservation,4,4,1.0,4,1.0
h1o_transfer_h2r,h1o_component_value_boundary,4,4,1.0,4,1.0
h1p_transfer_h2r,h1p_component_value_compact,4,4,1.0,4,1.0
h1p_transfer_h2r,h1p_component_value_stale_selection,4,4,1.0,4,1.0
h1p_transfer_h2r,h1p_component_value_surface,4,4,1.0,4,1.0
