profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h2q_origin_h2r,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h2q_execute_v2,8,8,1.0,8,1.0
h2m_transfer_h2r,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h2m_execute_v1,8,8,1.0,8,1.0
h2k_transfer_h2r,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h2k_execute_v2,8,8,1.0,8,1.0
h2l_transfer_h2r,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h2l_execute_v2,8,8,1.0,8,1.0
h2f_transfer_h2r,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h2f_execute_v1,10,10,1.0,10,1.0
h2b_regression_h2r,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h2b_execute_v1,5,5,1.0,5,1.0
h1x_regression_h2r,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h1x_execute_v1,8,8,1.0,8,1.0
h1y_transfer_h2r,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h1y_execute_v1,10,10,1.0,10,1.0
h1o_transfer_h2r,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h1o_execute_v1,12,12,1.0,12,1.0
h1p_transfer_h2r,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating,results/tool_probe_replay_live/20260512T_h2r_composed_route_gating_on_h1p_execute_v1,12,12,1.0,12,1.0
