profile_label,family,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h2t_h2e_route_arbitration,h2t_clean_route_control,2,2,1.0,2,1.0
h2t_h2e_route_arbitration,h2t_current_selection_guard,2,2,1.0,2,1.0
h2t_h2e_route_arbitration,h2t_low_score_surface_request,3,0,0.0,2,0.6666666666666666
h2t_h2e_route_arbitration,h2t_negation_scope_guard,2,2,1.0,2,1.0
h2t_h2e_route_arbitration,h2t_value_is_target_guard,1,0,0.0,1,1.0
h2t_h2j_target_query_normalization,h2t_clean_route_control,2,2,1.0,2,1.0
h2t_h2j_target_query_normalization,h2t_current_selection_guard,2,2,1.0,2,1.0
h2t_h2j_target_query_normalization,h2t_low_score_surface_request,3,3,1.0,3,1.0
h2t_h2j_target_query_normalization,h2t_negation_scope_guard,2,0,0.0,0,0.0
h2t_h2j_target_query_normalization,h2t_value_is_target_guard,1,1,1.0,1,1.0
h2t_h2o_value_bearing_synthesis,h2t_clean_route_control,2,2,1.0,2,1.0
h2t_h2o_value_bearing_synthesis,h2t_current_selection_guard,2,2,1.0,2,1.0
h2t_h2o_value_bearing_synthesis,h2t_low_score_surface_request,3,3,1.0,3,1.0
h2t_h2o_value_bearing_synthesis,h2t_negation_scope_guard,2,0,0.0,0,0.0
h2t_h2o_value_bearing_synthesis,h2t_value_is_target_guard,1,1,1.0,1,1.0
h2t_h2p_contextual_surface_alias_routing,h2t_clean_route_control,2,2,1.0,2,1.0
h2t_h2p_contextual_surface_alias_routing,h2t_current_selection_guard,2,2,1.0,2,1.0
h2t_h2p_contextual_surface_alias_routing,h2t_low_score_surface_request,3,3,1.0,3,1.0
h2t_h2p_contextual_surface_alias_routing,h2t_negation_scope_guard,2,0,0.0,0,0.0
h2t_h2p_contextual_surface_alias_routing,h2t_value_is_target_guard,1,1,1.0,1,1.0
h2t_h2r_composed_route_gating,h2t_clean_route_control,2,2,1.0,2,1.0
h2t_h2r_composed_route_gating,h2t_current_selection_guard,2,2,1.0,2,1.0
h2t_h2r_composed_route_gating,h2t_low_score_surface_request,3,3,1.0,3,1.0
h2t_h2r_composed_route_gating,h2t_negation_scope_guard,2,0,0.0,0,0.0
h2t_h2r_composed_route_gating,h2t_value_is_target_guard,1,1,1.0,1,1.0
