profile_label,case_id,family,failure_mode,executor_equivalence_match,expected_tool,expected_target_query,actual_tool,actual_target_query
h2t_h2e_route_arbitration,h2t_result_drawer_low_score_badge_decoy,h2t_low_score_surface_request,argument_mismatch,False,extract_layout,result drawer,extract_layout,result badge c08
h2t_h2e_route_arbitration,h2t_risk_lane_high_chip_decoy,h2t_low_score_surface_request,executable_paraphrase,True,extract_layout,risk lane,extract_layout,risk lane High
h2t_h2e_route_arbitration,h2t_stage_column_review_tag_decoy,h2t_low_score_surface_request,executable_paraphrase,True,extract_layout,stage column,extract_layout,stage column Review
h2t_h2e_route_arbitration,h2t_escalated_value_not_badge_component,h2t_value_is_target_guard,executable_paraphrase,True,extract_layout,Escalated value cell,extract_layout,Escalated value
h2t_h2j_target_query_normalization,h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,argument_mismatch,False,extract_layout,metric panel,extract_layout,training note
h2t_h2j_target_query_normalization,h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,argument_mismatch,False,extract_layout,summary tile,extract_layout,caption
h2t_h2o_value_bearing_synthesis,h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,argument_mismatch,False,extract_layout,metric panel,extract_layout,training note
h2t_h2o_value_bearing_synthesis,h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,argument_mismatch,False,extract_layout,summary tile,extract_layout,caption
h2t_h2p_contextual_surface_alias_routing,h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,argument_mismatch,False,extract_layout,metric panel,extract_layout,training note
h2t_h2p_contextual_surface_alias_routing,h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,argument_mismatch,False,extract_layout,summary tile,extract_layout,caption
h2t_h2r_composed_route_gating,h2t_metric_panel_negation_scope_note,h2t_negation_scope_guard,argument_mismatch,False,extract_layout,metric panel,extract_layout,training note
h2t_h2r_composed_route_gating,h2t_summary_tile_negation_scope_caption,h2t_negation_scope_guard,argument_mismatch,False,extract_layout,summary tile,extract_layout,caption
