profile_label,family,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h2v_h2j_target_query_normalization,h2v_clean_negation_control,1,1,1.0,1,1.0
h2v_h2j_target_query_normalization,h2v_genuine_negated_target,3,0,0.0,1,0.3333333333333333
h2v_h2j_target_query_normalization,h2v_instructional_negation_context,2,2,1.0,2,1.0
h2v_h2j_target_query_normalization,h2v_quoted_negation_context,2,0,0.0,0,0.0
h2v_h2j_target_query_normalization,h2v_stale_example_negation_context,2,0,0.0,0,0.0
h2v_h2r_composed_route_gating,h2v_clean_negation_control,1,1,1.0,1,1.0
h2v_h2r_composed_route_gating,h2v_genuine_negated_target,3,0,0.0,1,0.3333333333333333
h2v_h2r_composed_route_gating,h2v_instructional_negation_context,2,2,1.0,2,1.0
h2v_h2r_composed_route_gating,h2v_quoted_negation_context,2,0,0.0,0,0.0
h2v_h2r_composed_route_gating,h2v_stale_example_negation_context,2,0,0.0,0,0.0
h2v_h2u_negation_guard,h2v_clean_negation_control,1,1,1.0,1,1.0
h2v_h2u_negation_guard,h2v_genuine_negated_target,3,0,0.0,1,0.3333333333333333
h2v_h2u_negation_guard,h2v_instructional_negation_context,2,2,1.0,2,1.0
h2v_h2u_negation_guard,h2v_quoted_negation_context,2,1,0.5,1,0.5
h2v_h2u_negation_guard,h2v_stale_example_negation_context,2,0,0.0,0,0.0
