profile_label,case_id,family,failure_mode,executor_equivalence_match,expected_tool,expected_target_query,actual_tool,actual_target_query
h2x_h2u_negation_guard,h2x_risk_lane_stale_selection_not_lane,h2x_stale_selection_negation_context,wrong_tool,False,extract_layout,risk lane,refine_selection,
h2x_h2u_negation_guard,h2x_not_ready_status_badge_value_before_component,h2x_genuine_negated_target_value,argument_mismatch,False,extract_layout,status badge not ready,extract_layout,not ready
h2x_h2u_negation_guard,h2x_not_applicable_reason_chip_value_before_component,h2x_genuine_negated_target_value,argument_mismatch,False,extract_layout,reason chip not applicable,extract_layout,not Applicable
h2x_h2u_negation_guard,h2x_not_approved_approval_toggle_value_before_component,h2x_genuine_negated_target_value,argument_mismatch,False,extract_layout,approval toggle not approved,extract_layout,not approved
h2x_h2u_negation_guard,h2x_not_blocked_result_tile_value_before_component,h2x_genuine_negated_target_value,executable_paraphrase,True,extract_layout,result tile not blocked,extract_layout,not blocked
h2x_h2u_no_controller_fallback,h2x_risk_lane_stale_selection_not_lane,h2x_stale_selection_negation_context,wrong_tool,False,extract_layout,risk lane,refine_selection,
h2x_h2u_no_controller_fallback,h2x_not_ready_status_badge_value_before_component,h2x_genuine_negated_target_value,argument_mismatch,False,extract_layout,status badge not ready,extract_layout,not ready
h2x_h2u_no_controller_fallback,h2x_not_applicable_reason_chip_value_before_component,h2x_genuine_negated_target_value,argument_mismatch,False,extract_layout,reason chip not applicable,extract_layout,not Applicable
h2x_h2u_no_controller_fallback,h2x_not_approved_approval_toggle_value_before_component,h2x_genuine_negated_target_value,argument_mismatch,False,extract_layout,approval toggle not approved,extract_layout,not approved
h2x_h2u_no_controller_fallback,h2x_not_blocked_result_tile_value_before_component,h2x_genuine_negated_target_value,executable_paraphrase,True,extract_layout,result tile not blocked,extract_layout,not blocked
