comparison_label,case_id,family,baseline_failure_mode,candidate_failure_mode,baseline_executor_equivalence_match,candidate_executor_equivalence_match
h2z_stale_vs_h2w,h2y_approval_field_stale_selection_not_field,h2y_stale_selection_negation_context,wrong_tool,exact,False,True
h2z_stale_vs_h2w,h2y_escalation_lane_stale_selection_not_lane,h2y_stale_selection_negation_context,wrong_tool,exact,False,True
h2z_stale_vs_h2w,h2y_exception_panel_stale_selection_not_panel,h2y_stale_selection_negation_context,wrong_tool,exact,False,True
h2z_component_vs_h2w,h2y_not_active_alert_banner_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,exact,False,True
h2z_combined_vs_h2w,h2y_approval_field_stale_selection_not_field,h2y_stale_selection_negation_context,wrong_tool,exact,False,True
h2z_combined_vs_h2w,h2y_escalation_lane_stale_selection_not_lane,h2y_stale_selection_negation_context,wrong_tool,exact,False,True
h2z_combined_vs_h2w,h2y_exception_panel_stale_selection_not_panel,h2y_stale_selection_negation_context,wrong_tool,exact,False,True
h2z_combined_vs_h2w,h2y_not_active_alert_banner_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,exact,False,True
h2z_combined_vs_stale,h2y_not_active_alert_banner_value_before_component,h2y_genuine_negated_target_value,argument_mismatch,exact,False,True
h2z_combined_vs_component,h2y_approval_field_stale_selection_not_field,h2y_stale_selection_negation_context,wrong_tool,exact,False,True
h2z_combined_vs_component,h2y_escalation_lane_stale_selection_not_lane,h2y_stale_selection_negation_context,wrong_tool,exact,False,True
h2z_combined_vs_component,h2y_exception_panel_stale_selection_not_panel,h2y_stale_selection_negation_context,wrong_tool,exact,False,True
