profile_label,family,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h3_h2z_boundary_combined,h3_finance_stale_selection_paraphrase,4,2,0.5,2,0.5
h3_h2z_boundary_combined,h3_mixed_workflow_instructional_negation,4,4,1.0,4,1.0
h3_h2z_boundary_combined,h3_policy_label_order_inversion,4,4,1.0,4,1.0
h3_h2z_boundary_combined,h3_research_stale_selection_paraphrase,4,2,0.5,2,0.5
h3_h2z_boundary_combined,h3_support_negated_component_syntax,4,3,0.75,3,0.75
h3a_stale_selection_paraphrase_guard,h3_finance_stale_selection_paraphrase,4,4,1.0,4,1.0
h3a_stale_selection_paraphrase_guard,h3_mixed_workflow_instructional_negation,4,4,1.0,4,1.0
h3a_stale_selection_paraphrase_guard,h3_policy_label_order_inversion,4,4,1.0,4,1.0
h3a_stale_selection_paraphrase_guard,h3_research_stale_selection_paraphrase,4,4,1.0,4,1.0
h3a_stale_selection_paraphrase_guard,h3_support_negated_component_syntax,4,3,0.75,3,0.75
h3a_negative_value_target_preservation,h3_finance_stale_selection_paraphrase,4,2,0.5,2,0.5
h3a_negative_value_target_preservation,h3_mixed_workflow_instructional_negation,4,4,1.0,4,1.0
h3a_negative_value_target_preservation,h3_policy_label_order_inversion,4,4,1.0,4,1.0
h3a_negative_value_target_preservation,h3_research_stale_selection_paraphrase,4,2,0.5,2,0.5
h3a_negative_value_target_preservation,h3_support_negated_component_syntax,4,4,1.0,4,1.0
h3a_boundary_combined,h3_finance_stale_selection_paraphrase,4,4,1.0,4,1.0
h3a_boundary_combined,h3_mixed_workflow_instructional_negation,4,4,1.0,4,1.0
h3a_boundary_combined,h3_policy_label_order_inversion,4,4,1.0,4,1.0
h3a_boundary_combined,h3_research_stale_selection_paraphrase,4,4,1.0,4,1.0
h3a_boundary_combined,h3_support_negated_component_syntax,4,4,1.0,4,1.0
