profile_label,family,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h2t_h2w_semantic_target_preservation,h2t_clean_route_control,2,2,1.0,2,1.0
h2t_h2w_semantic_target_preservation,h2t_current_selection_guard,2,2,1.0,2,1.0
h2t_h2w_semantic_target_preservation,h2t_low_score_surface_request,3,3,1.0,3,1.0
h2t_h2w_semantic_target_preservation,h2t_negation_scope_guard,2,2,1.0,2,1.0
h2t_h2w_semantic_target_preservation,h2t_value_is_target_guard,1,1,1.0,1,1.0
h2s_h2w_semantic_target_preservation,h2s_clean_route_control,1,1,1.0,1,1.0
h2s_h2w_semantic_target_preservation,h2s_contextual_alias_decoy_overlap,2,2,1.0,2,1.0
h2s_h2w_semantic_target_preservation,h2s_negated_decoy_guard,1,1,1.0,1,1.0
h2s_h2w_semantic_target_preservation,h2s_stale_surface_alias,2,2,1.0,2,1.0
h2s_h2w_semantic_target_preservation,h2s_surface_alias_same_value_decoy,2,2,1.0,2,1.0
h2s_h2w_semantic_target_preservation,h2s_value_bearing_stale_decoy,2,2,1.0,2,1.0
h2q_h2w_semantic_target_preservation,h2q_contextual_alias_decoy_overlap,2,2,1.0,2,1.0
h2q_h2w_semantic_target_preservation,h2q_stale_surface_alias,2,2,1.0,2,1.0
h2q_h2w_semantic_target_preservation,h2q_surface_alias_value_decoy,2,2,1.0,2,1.0
h2q_h2w_semantic_target_preservation,h2q_value_bearing_stale_decoy,2,2,1.0,2,1.0
h2m_h2w_semantic_target_preservation,h2m_contextual_alias_is_target,2,2,1.0,2,1.0
h2m_h2w_semantic_target_preservation,h2m_h2k_regression_guard_less_direct,2,2,1.0,2,1.0
h2m_h2w_semantic_target_preservation,h2m_less_direct_value_bearing_target,4,4,1.0,4,1.0
h2k_h2w_semantic_target_preservation,h2k_before_reading_decoy,2,2,1.0,2,1.0
h2k_h2w_semantic_target_preservation,h2k_code_label_overlap,2,2,1.0,2,1.0
h2k_h2w_semantic_target_preservation,h2k_negated_same_component_decoy,3,3,1.0,3,1.0
h2k_h2w_semantic_target_preservation,h2k_transfer_regression_guard,1,1,1.0,1,1.0
h2l_h2w_semantic_target_preservation,h2l_alias_is_target,2,2,1.0,2,1.0
h2l_h2w_semantic_target_preservation,h2l_h2k_regression_guard,2,2,1.0,2,1.0
h2l_h2w_semantic_target_preservation,h2l_value_bearing_target,4,4,1.0,4,1.0
h2f_h2w_semantic_target_preservation,h2f_activation_panel_notice,2,2,1.0,2,1.0
h2f_h2w_semantic_target_preservation,h2f_route_code_label,2,2,1.0,2,1.0
h2f_h2w_semantic_target_preservation,h2f_route_component_class_transfer,2,2,1.0,2,1.0
h2f_h2w_semantic_target_preservation,h2f_route_nonstandard_class,2,2,1.0,2,1.0
h2f_h2w_semantic_target_preservation,h2f_route_stale_field,2,2,1.0,2,1.0
h2b_h2w_semantic_target_preservation,h1o_code_negation_preservation,2,2,1.0,2,1.0
h2b_h2w_semantic_target_preservation,h1p_component_value_compact,1,1,1.0,1,1.0
h2b_h2w_semantic_target_preservation,h1p_component_value_surface,1,1,1.0,1,1.0
h2b_h2w_semantic_target_preservation,visual_argument_transfer_component_value_pill,1,1,1.0,1,1.0
h1x_h2w_semantic_target_preservation,h1x_oblique_activation_no_call,2,2,1.0,2,1.0
h1x_h2w_semantic_target_preservation,h1x_oblique_nonstandard_class,2,2,1.0,2,1.0
h1x_h2w_semantic_target_preservation,h1x_oblique_stale_field,2,2,1.0,2,1.0
h1x_h2w_semantic_target_preservation,h1x_oblique_surface_value,2,2,1.0,2,1.0
h1y_h2w_semantic_target_preservation,h1y_activation_no_call,1,1,1.0,1,1.0
h1y_h2w_semantic_target_preservation,h1y_preserve_surface_value,2,2,1.0,2,1.0
h1y_h2w_semantic_target_preservation,h1y_route_code_label,2,2,1.0,2,1.0
h1y_h2w_semantic_target_preservation,h1y_route_nonstandard_class,2,2,1.0,2,1.0
h1y_h2w_semantic_target_preservation,h1y_route_stale_field,3,3,1.0,3,1.0
h1o_h2w_semantic_target_preservation,h1o_activation_no_call,4,4,1.0,4,1.0
h1o_h2w_semantic_target_preservation,h1o_code_negation_preservation,4,4,1.0,4,1.0
h1o_h2w_semantic_target_preservation,h1o_component_value_boundary,4,4,1.0,4,1.0
h1p_h2w_semantic_target_preservation,h1p_component_value_compact,4,4,1.0,4,1.0
h1p_h2w_semantic_target_preservation,h1p_component_value_stale_selection,4,4,1.0,4,1.0
h1p_h2w_semantic_target_preservation,h1p_component_value_surface,4,4,1.0,4,1.0
h2t_h3a_boundary_combined,h2t_clean_route_control,2,2,1.0,2,1.0
h2t_h3a_boundary_combined,h2t_current_selection_guard,2,2,1.0,2,1.0
h2t_h3a_boundary_combined,h2t_low_score_surface_request,3,3,1.0,3,1.0
h2t_h3a_boundary_combined,h2t_negation_scope_guard,2,2,1.0,2,1.0
h2t_h3a_boundary_combined,h2t_value_is_target_guard,1,1,1.0,1,1.0
h2s_h3a_boundary_combined,h2s_clean_route_control,1,1,1.0,1,1.0
h2s_h3a_boundary_combined,h2s_contextual_alias_decoy_overlap,2,2,1.0,2,1.0
h2s_h3a_boundary_combined,h2s_negated_decoy_guard,1,1,1.0,1,1.0
h2s_h3a_boundary_combined,h2s_stale_surface_alias,2,2,1.0,2,1.0
h2s_h3a_boundary_combined,h2s_surface_alias_same_value_decoy,2,2,1.0,2,1.0
h2s_h3a_boundary_combined,h2s_value_bearing_stale_decoy,2,2,1.0,2,1.0
h2q_h3a_boundary_combined,h2q_contextual_alias_decoy_overlap,2,2,1.0,2,1.0
h2q_h3a_boundary_combined,h2q_stale_surface_alias,2,2,1.0,2,1.0
h2q_h3a_boundary_combined,h2q_surface_alias_value_decoy,2,2,1.0,2,1.0
