profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h2t_h2w_semantic_target_preservation,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard_visual_semantic_target_preservation,results/tool_probe_replay_live/20260513T_h2w_semantic_target_preservation_on_h2t_execute_v1,10,10,1.0,10,1.0
h2s_h2w_semantic_target_preservation,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard_visual_semantic_target_preservation,results/tool_probe_replay_live/20260513T_h2w_semantic_target_preservation_on_h2s_execute_v1,10,10,1.0,10,1.0
h2q_h2w_semantic_target_preservation,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard_visual_semantic_target_preservation,results/tool_probe_replay_live/20260513T_h2w_semantic_target_preservation_on_h2q_execute_v1,8,8,1.0,8,1.0
h2m_h2w_semantic_target_preservation,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard_visual_semantic_target_preservation,results/tool_probe_replay_live/20260513T_h2w_semantic_target_preservation_on_h2m_execute_v1,8,8,1.0,8,1.0
h2k_h2w_semantic_target_preservation,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard_visual_semantic_target_preservation,results/tool_probe_replay_live/20260513T_h2w_semantic_target_preservation_on_h2k_execute_v1,8,8,1.0,8,1.0
h2l_h2w_semantic_target_preservation,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard_visual_semantic_target_preservation,results/tool_probe_replay_live/20260513T_h2w_semantic_target_preservation_on_h2l_execute_v1,8,8,1.0,8,1.0
h2f_h2w_semantic_target_preservation,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard_visual_semantic_target_preservation,results/tool_probe_replay_live/20260513T_h2w_semantic_target_preservation_on_h2f_execute_v1,10,10,1.0,10,1.0
h2b_h2w_semantic_target_preservation,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard_visual_semantic_target_preservation,results/tool_probe_replay_live/20260513T_h2w_semantic_target_preservation_on_h2b_execute_v1,5,5,1.0,5,1.0
h1x_h2w_semantic_target_preservation,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard_visual_semantic_target_preservation,results/tool_probe_replay_live/20260513T_h2w_semantic_target_preservation_on_h1x_execute_v1,8,8,1.0,8,1.0
h1y_h2w_semantic_target_preservation,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_route_arbitration_residual_exactness_visual_stale_selection_gate_visual_value_bearing_target_query_synthesis_visual_contextual_surface_alias_routing_visual_composed_route_gating_visual_negation_guard_visual_semantic_target_preservation,results/tool_probe_replay_live/20260513T_h2w_semantic_target_preservation_on_h1y_execute_v1,10,10,1.0,10,1.0
