profile_label,family,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate
h3b_h2w_semantic_target_preservation,h3b_current_selection_stepwise_refine,4,2,0.5,4,1.0
h3b_h2w_semantic_target_preservation,h3b_extended_negative_value_vocabulary,4,0,0.0,1,0.25
h3b_h2w_semantic_target_preservation,h3b_state_order_flip,4,3,0.75,3,0.75
h3b_h2w_semantic_target_preservation,h3b_unseen_stale_origin_paraphrase,4,4,1.0,4,1.0
h3b_h2w_semantic_target_preservation,h4_approval_stop_boundary,4,0,0.0,0,0.0
h3b_h2w_semantic_target_preservation,h4_latest_instruction_retention,4,2,0.5,2,0.5
h3b_h2z_boundary_combined,h3b_current_selection_stepwise_refine,4,2,0.5,4,1.0
h3b_h2z_boundary_combined,h3b_extended_negative_value_vocabulary,4,0,0.0,1,0.25
h3b_h2z_boundary_combined,h3b_state_order_flip,4,3,0.75,3,0.75
h3b_h2z_boundary_combined,h3b_unseen_stale_origin_paraphrase,4,4,1.0,4,1.0
h3b_h2z_boundary_combined,h4_approval_stop_boundary,4,0,0.0,0,0.0
h3b_h2z_boundary_combined,h4_latest_instruction_retention,4,2,0.5,2,0.5
h3b_h3a_boundary_combined,h3b_current_selection_stepwise_refine,4,2,0.5,4,1.0
h3b_h3a_boundary_combined,h3b_extended_negative_value_vocabulary,4,0,0.0,1,0.25
h3b_h3a_boundary_combined,h3b_state_order_flip,4,3,0.75,3,0.75
h3b_h3a_boundary_combined,h3b_unseen_stale_origin_paraphrase,4,4,1.0,4,1.0
h3b_h3a_boundary_combined,h4_approval_stop_boundary,4,0,0.0,0,0.0
h3b_h3a_boundary_combined,h4_latest_instruction_retention,4,2,0.5,2,0.5
