packet_label,profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate,argument_mismatch_count,wrong_tool_count,executable_paraphrase_count
h1n_component_value,no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1n_component_value_no_directive_execute_v1,8,5,0.625,6,0.75,0,0,1
h1n_component_value,argument_hints_v2,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,results/tool_probe_replay_live/20260510T_h1n_component_value_argument_hints_execute_v1,8,6,0.75,7,0.875,1,0,1
h1n_component_value,hybrid_label_guard_v8,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_hybrid_label_guard,results/tool_probe_replay_live/20260510T_h1n_component_value_hybrid_label_guard_execute_v1,8,6,0.75,7,0.875,1,0,1
h1n_component_value,component_value_guard_v9,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_value_guard,results/tool_probe_replay_live/20260510T_h1n_component_value_component_value_guard_execute_v1,8,4,0.5,4,0.5,4,0,0
h1n_component_value,no_call_control_rescue_v10,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_no_call_control_rescue,results/tool_probe_replay_live/20260510T_h1n_component_value_no_call_control_rescue_execute_v1,8,7,0.875,8,1.0,0,0,1
h1n_component_value,component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1q_component_label_guard_on_h1n_component_value_execute_v1,8,6,0.75,7,0.875,0,1,1
h1o_control_factorial,no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1o_control_factorial_no_directive_execute_v1,12,5,0.4166666666666667,6,0.5,3,0,1
h1o_control_factorial,argument_hints_v2,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,results/tool_probe_replay_live/20260510T_h1o_control_factorial_argument_hints_execute_v1,12,9,0.75,10,0.8333333333333334,1,0,1
h1o_control_factorial,hybrid_label_guard_v8,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_hybrid_label_guard,results/tool_probe_replay_live/20260510T_h1o_control_factorial_hybrid_label_guard_execute_v1,12,8,0.6666666666666666,10,0.8333333333333334,2,0,2
h1o_control_factorial,component_value_guard_v9,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_value_guard,results/tool_probe_replay_live/20260510T_h1o_control_factorial_component_value_guard_execute_v1,12,9,0.75,10,0.8333333333333334,2,0,1
h1o_control_factorial,no_call_control_rescue_v10,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_no_call_control_rescue,results/tool_probe_replay_live/20260510T_h1o_control_factorial_no_call_control_rescue_execute_v1,12,7,0.5833333333333334,8,0.6666666666666666,3,0,1
h1o_control_factorial,component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1q_component_label_guard_on_h1o_control_factorial_execute_v1,12,10,0.8333333333333334,12,1.0,0,0,2
h1p_component_value,no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1p_component_value_no_directive_execute_v1,12,0,0.0,0,0.0,8,0,0
h1p_component_value,argument_hints_v2,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_argument_hints,results/tool_probe_replay_live/20260510T_h1p_component_value_argument_hints_execute_v1,12,6,0.5,6,0.5,6,0,0
h1p_component_value,hybrid_label_guard_v8,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_hybrid_label_guard,results/tool_probe_replay_live/20260510T_h1p_component_value_hybrid_label_guard_execute_v1,12,9,0.75,10,0.8333333333333334,2,0,1
h1p_component_value,component_value_guard_v9,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_value_guard,results/tool_probe_replay_live/20260510T_h1p_component_value_component_value_guard_execute_v1,12,10,0.8333333333333334,11,0.9166666666666666,0,1,1
h1p_component_value,no_call_control_rescue_v10,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_no_call_control_rescue,results/tool_probe_replay_live/20260510T_h1p_component_value_no_call_control_rescue_execute_v1,12,6,0.5,6,0.5,6,0,0
h1p_component_value,component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1q_component_label_guard_on_h1p_component_value_execute_v1,12,10,0.8333333333333334,10,0.8333333333333334,2,0,0
