packet_label,profile_label,system_id,packet_dir,case_count,exact_success_count,exact_rate,executor_success_count,executor_rate,argument_mismatch_count,wrong_tool_count,no_tool_call_count,executable_paraphrase_count
h1r_component_residual,no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1r_component_label_residual_no_directive_execute_v1,6,0,0.0,1,0.16666666666666666,2,0,3,1
h1r_component_residual,component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1r_component_label_residual_component_label_guard_execute_v1,6,5,0.8333333333333334,5,0.8333333333333334,1,0,0,0
h1r_component_residual,component_residual_guard_v12,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,results/tool_probe_replay_live/20260510T_h1r_component_label_residual_component_residual_guard_execute_v1,6,6,1.0,6,1.0,0,0,0,0
h1n_component_value,no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1n_component_value_no_directive_execute_v1,8,5,0.625,6,0.75,0,0,2,1
h1n_component_value,component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1q_component_label_guard_on_h1n_component_value_execute_v1,8,6,0.75,7,0.875,0,1,0,1
h1n_component_value,component_residual_guard_v12,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,results/tool_probe_replay_live/20260510T_h1s_component_residual_guard_on_h1n_component_value_execute_v1,8,5,0.625,5,0.625,3,0,0,0
h1o_control_factorial,no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1o_control_factorial_no_directive_execute_v1,12,5,0.4166666666666667,6,0.5,3,0,3,1
h1o_control_factorial,component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1q_component_label_guard_on_h1o_control_factorial_execute_v1,12,10,0.8333333333333334,12,1.0,0,0,0,2
h1o_control_factorial,component_residual_guard_v12,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,results/tool_probe_replay_live/20260510T_h1s_component_residual_guard_on_h1o_control_factorial_execute_v1,12,11,0.9166666666666666,11,0.9166666666666666,1,0,0,0
h1p_component_value,no_directive,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,results/tool_probe_replay_live/20260510T_h1p_component_value_no_directive_execute_v1,12,0,0.0,0,0.0,8,0,4,0
h1p_component_value,component_label_guard_v11,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_label_guard,results/tool_probe_replay_live/20260510T_h1q_component_label_guard_on_h1p_component_value_execute_v1,12,10,0.8333333333333334,10,0.8333333333333334,2,0,0,0
h1p_component_value,component_residual_guard_v12,mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_role_catalog_component_residual_guard,results/tool_probe_replay_live/20260510T_h1s_component_residual_guard_on_h1p_component_value_execute_v1,12,11,0.9166666666666666,11,0.9166666666666666,0,1,0,0
