profile_label,case_id,family,source_failure_mode,replay_failure_mode,exact_match,executor_equivalence_match
no_directive,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,executable_paraphrase,exact,True,True
no_directive,h1o_code_alert_s92_negated_toggle_decoy,h1o_code_negation_preservation,executable_paraphrase,executable_paraphrase,False,True
no_directive,h1o_code_badge_c08_note_decoy,h1o_code_negation_preservation,executable_paraphrase,no_tool_call,False,False
no_directive,h1p_compact_state_tag_log_value_decoy,h1p_component_value_compact,argument_mismatch,argument_mismatch,False,False
no_directive,h1p_surface_mode_toggle_note_value_decoy,h1p_component_value_surface,argument_mismatch,no_tool_call,False,False
component_value_guard_v9,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,executable_paraphrase,argument_mismatch,False,False
component_value_guard_v9,h1o_code_alert_s92_negated_toggle_decoy,h1o_code_negation_preservation,executable_paraphrase,executable_paraphrase,False,True
component_value_guard_v9,h1o_code_badge_c08_note_decoy,h1o_code_negation_preservation,executable_paraphrase,exact,True,True
component_value_guard_v9,h1p_compact_state_tag_log_value_decoy,h1p_component_value_compact,argument_mismatch,exact,True,True
component_value_guard_v9,h1p_surface_mode_toggle_note_value_decoy,h1p_component_value_surface,argument_mismatch,exact,True,True
component_residual_guard_v12,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,executable_paraphrase,argument_mismatch,False,False
component_residual_guard_v12,h1o_code_alert_s92_negated_toggle_decoy,h1o_code_negation_preservation,executable_paraphrase,exact,True,True
component_residual_guard_v12,h1o_code_badge_c08_note_decoy,h1o_code_negation_preservation,executable_paraphrase,exact,True,True
component_residual_guard_v12,h1p_compact_state_tag_log_value_decoy,h1p_component_value_compact,argument_mismatch,exact,True,True
component_residual_guard_v12,h1p_surface_mode_toggle_note_value_decoy,h1p_component_value_surface,argument_mismatch,exact,True,True
h2a_stale_selection_gate,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,executable_paraphrase,executable_paraphrase,False,True
h2a_stale_selection_gate,h1o_code_alert_s92_negated_toggle_decoy,h1o_code_negation_preservation,executable_paraphrase,executable_paraphrase,False,True
h2a_stale_selection_gate,h1o_code_badge_c08_note_decoy,h1o_code_negation_preservation,executable_paraphrase,executable_paraphrase,False,True
h2a_stale_selection_gate,h1p_compact_state_tag_log_value_decoy,h1p_component_value_compact,argument_mismatch,argument_mismatch,False,False
h2a_stale_selection_gate,h1p_surface_mode_toggle_note_value_decoy,h1p_component_value_surface,argument_mismatch,argument_mismatch,False,False
h2c_scoped_residual_gate,component_value_result_pill_log_decoy,visual_argument_transfer_component_value_pill,executable_paraphrase,exact,True,True
h2c_scoped_residual_gate,h1o_code_alert_s92_negated_toggle_decoy,h1o_code_negation_preservation,executable_paraphrase,exact,True,True
h2c_scoped_residual_gate,h1o_code_badge_c08_note_decoy,h1o_code_negation_preservation,executable_paraphrase,exact,True,True
h2c_scoped_residual_gate,h1p_compact_state_tag_log_value_decoy,h1p_component_value_compact,argument_mismatch,exact,True,True
h2c_scoped_residual_gate,h1p_surface_mode_toggle_note_value_decoy,h1p_component_value_surface,argument_mismatch,exact,True,True
