system_id,tool_prompt_contract_id,failure_mode,count
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor,schema_anchor_v1,argument_mismatch,3
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor,schema_anchor_v1,call_count_mismatch,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor,schema_anchor_v1,exact,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_anchor,schema_anchor_v1,no_tool_call,3
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard,literal_argument_guard_v1,argument_mismatch,3
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard,literal_argument_guard_v1,executable_paraphrase,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_literal_guard,literal_argument_guard_v1,no_tool_call,4
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required,tool_required_parallel_v1,argument_mismatch,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required,tool_required_parallel_v1,executable_paraphrase,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_tool_required,tool_required_parallel_v1,no_tool_call,6
