system_id,tool_prompt_contract_id,failure_mode,count
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_literal_tool_required,schema_literal_tool_required_v2,argument_mismatch,3
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_literal_tool_required,schema_literal_tool_required_v2,call_count_mismatch,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_literal_tool_required,schema_literal_tool_required_v2,exact,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_schema_literal_tool_required,schema_literal_tool_required_v2,no_tool_call,3
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_next_call_state,visual_next_call_state_v2,call_count_mismatch,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_next_call_state,visual_next_call_state_v2,executable_paraphrase,1
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_visual_next_call_state,visual_next_call_state_v2,no_tool_call,6
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_parallel_array_required,parallel_array_required_v2,argument_mismatch,2
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_parallel_array_required,parallel_array_required_v2,no_tool_call,5
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive_parallel_array_required,parallel_array_required_v2,wrong_tool,1
