label,case_id,family,baseline_failure_mode,candidate_failure_mode,delta_exact_match,delta_executor_equivalence_match,transition
contracted,stress_callout_warning_person_table_decoy,visual_argument_copying_stress,no_tool_call,executable_paraphrase,0,1,executor_gain_without_strict
contracted,stress_callout_warning_risk_note_decoy,visual_argument_copying_stress,no_tool_call,exact,1,1,strict_gain
contracted,stress_form_error_stale_selection_status_decoy,visual_tool_routing_stress,exact,exact,0,0,unchanged
contracted,stress_form_error_stale_selection_warning_decoy,visual_tool_routing_stress,exact,exact,0,0,unchanged
contracted,stress_metric_panel_status_banner_decoy,visual_argument_copying_stress,executable_paraphrase,exact,1,0,strict_gain
contracted,stress_metric_panel_summary_card_decoy,visual_argument_copying_stress,executable_paraphrase,exact,1,0,strict_gain
contracted,stress_metric_panel_with_chart_table_decoys,visual_argument_copying_stress,argument_mismatch,exact,1,1,strict_gain
contracted,stress_metric_panel_with_kpi_copy_decoy,visual_argument_copying_stress,executable_paraphrase,exact,1,0,strict_gain
role_catalog_v1,stress_callout_warning_person_table_decoy,visual_argument_copying_stress,no_tool_call,executable_paraphrase,0,1,executor_gain_without_strict
role_catalog_v1,stress_callout_warning_risk_note_decoy,visual_argument_copying_stress,no_tool_call,executable_paraphrase,0,1,executor_gain_without_strict
role_catalog_v1,stress_form_error_stale_selection_status_decoy,visual_tool_routing_stress,exact,exact,0,0,unchanged
role_catalog_v1,stress_form_error_stale_selection_warning_decoy,visual_tool_routing_stress,exact,no_tool_call,-1,-1,regression
role_catalog_v1,stress_metric_panel_status_banner_decoy,visual_argument_copying_stress,executable_paraphrase,executable_paraphrase,0,0,unchanged
role_catalog_v1,stress_metric_panel_summary_card_decoy,visual_argument_copying_stress,executable_paraphrase,executable_paraphrase,0,0,unchanged
role_catalog_v1,stress_metric_panel_with_chart_table_decoys,visual_argument_copying_stress,argument_mismatch,argument_mismatch,0,0,unchanged
role_catalog_v1,stress_metric_panel_with_kpi_copy_decoy,visual_argument_copying_stress,executable_paraphrase,executable_paraphrase,0,0,unchanged
argument_hints_v2,stress_callout_warning_person_table_decoy,visual_argument_copying_stress,no_tool_call,executable_paraphrase,0,1,executor_gain_without_strict
argument_hints_v2,stress_callout_warning_risk_note_decoy,visual_argument_copying_stress,no_tool_call,argument_mismatch,0,0,unchanged
argument_hints_v2,stress_form_error_stale_selection_status_decoy,visual_tool_routing_stress,exact,exact,0,0,unchanged
argument_hints_v2,stress_form_error_stale_selection_warning_decoy,visual_tool_routing_stress,exact,exact,0,0,unchanged
argument_hints_v2,stress_metric_panel_status_banner_decoy,visual_argument_copying_stress,executable_paraphrase,executable_paraphrase,0,0,unchanged
argument_hints_v2,stress_metric_panel_summary_card_decoy,visual_argument_copying_stress,executable_paraphrase,executable_paraphrase,0,0,unchanged
argument_hints_v2,stress_metric_panel_with_chart_table_decoys,visual_argument_copying_stress,argument_mismatch,argument_mismatch,0,0,unchanged
argument_hints_v2,stress_metric_panel_with_kpi_copy_decoy,visual_argument_copying_stress,executable_paraphrase,executable_paraphrase,0,0,unchanged
schema_field_hints_v4,stress_callout_warning_person_table_decoy,visual_argument_copying_stress,no_tool_call,executable_paraphrase,0,1,executor_gain_without_strict
schema_field_hints_v4,stress_callout_warning_risk_note_decoy,visual_argument_copying_stress,no_tool_call,argument_mismatch,0,0,unchanged
schema_field_hints_v4,stress_form_error_stale_selection_status_decoy,visual_tool_routing_stress,exact,exact,0,0,unchanged
schema_field_hints_v4,stress_form_error_stale_selection_warning_decoy,visual_tool_routing_stress,exact,exact,0,0,unchanged
schema_field_hints_v4,stress_metric_panel_status_banner_decoy,visual_argument_copying_stress,executable_paraphrase,executable_paraphrase,0,0,unchanged
schema_field_hints_v4,stress_metric_panel_summary_card_decoy,visual_argument_copying_stress,executable_paraphrase,executable_paraphrase,0,0,unchanged
schema_field_hints_v4,stress_metric_panel_with_chart_table_decoys,visual_argument_copying_stress,argument_mismatch,executable_paraphrase,0,1,executor_gain_without_strict
schema_field_hints_v4,stress_metric_panel_with_kpi_copy_decoy,visual_argument_copying_stress,executable_paraphrase,executable_paraphrase,0,0,unchanged
schema_literal_targets_v5,stress_callout_warning_person_table_decoy,visual_argument_copying_stress,no_tool_call,executable_paraphrase,0,1,executor_gain_without_strict
schema_literal_targets_v5,stress_callout_warning_risk_note_decoy,visual_argument_copying_stress,no_tool_call,exact,1,1,strict_gain
schema_literal_targets_v5,stress_form_error_stale_selection_status_decoy,visual_tool_routing_stress,exact,exact,0,0,unchanged
schema_literal_targets_v5,stress_form_error_stale_selection_warning_decoy,visual_tool_routing_stress,exact,exact,0,0,unchanged
schema_literal_targets_v5,stress_metric_panel_status_banner_decoy,visual_argument_copying_stress,executable_paraphrase,executable_paraphrase,0,0,unchanged
schema_literal_targets_v5,stress_metric_panel_summary_card_decoy,visual_argument_copying_stress,executable_paraphrase,executable_paraphrase,0,0,unchanged
schema_literal_targets_v5,stress_metric_panel_with_chart_table_decoys,visual_argument_copying_stress,argument_mismatch,executable_paraphrase,0,1,executor_gain_without_strict
schema_literal_targets_v5,stress_metric_panel_with_kpi_copy_decoy,visual_argument_copying_stress,executable_paraphrase,executable_paraphrase,0,0,unchanged
