label,transition,count
argument_hints_v2,executor_gain_without_strict,1
argument_hints_v2,unchanged,7
contracted,executor_gain_without_strict,1
contracted,strict_gain,5
contracted,unchanged,2
role_catalog_v1,executor_gain_without_strict,2
role_catalog_v1,regression,1
role_catalog_v1,unchanged,5
schema_field_hints_v4,executor_gain_without_strict,2
schema_field_hints_v4,unchanged,6
schema_literal_targets_v5,executor_gain_without_strict,2
schema_literal_targets_v5,strict_gain,1
schema_literal_targets_v5,unchanged,5
