label,transition,count
argument_hints_v2,executor_gain_without_strict,2
argument_hints_v2,strict_gain,1
argument_hints_v2,unchanged,5
contracted,regression,3
contracted,strict_gain,1
contracted,unchanged,4
hybrid_label_guard_v8,strict_gain,3
hybrid_label_guard_v8,unchanged,5
no_call_control_rescue_v10,executor_gain_without_strict,2
no_call_control_rescue_v10,unchanged,6
oblique_code_guard_v7,executor_gain_without_strict,1
oblique_code_guard_v7,strict_gain,2
oblique_code_guard_v7,unchanged,5
oblique_code_hints_v6,strict_gain,2
oblique_code_hints_v6,unchanged,6
