label,transition,count
argument_hints_v2,regression,1
argument_hints_v2,strict_gain,2
argument_hints_v2,unchanged,5
component_value_guard_v9,regression,3
component_value_guard_v9,strict_gain,1
component_value_guard_v9,unchanged,4
contracted,regression,5
contracted,strict_gain,1
contracted,unchanged,2
hybrid_label_guard_v8,regression,2
hybrid_label_guard_v8,strict_gain,2
hybrid_label_guard_v8,unchanged,4
no_call_control_rescue_v10,strict_gain,2
no_call_control_rescue_v10,unchanged,6
oblique_code_guard_v7,regression,2
oblique_code_guard_v7,strict_gain,1
oblique_code_guard_v7,unchanged,5
oblique_code_hints_v6,regression,4
oblique_code_hints_v6,unchanged,4
schema_field_hints_v4,regression,4
schema_field_hints_v4,strict_gain,1
schema_field_hints_v4,unchanged,3
