label,case_id,family,baseline_failure_mode,candidate_failure_mode,delta_exact_match,delta_executor_equivalence_match,transition
argument_hints_v2,h1o_activation_error_banner_previous_region_decoy,h1o_activation_no_call,exact,exact,0,0,unchanged
argument_hints_v2,h1o_activation_owner_field_stale_selection_decoy,h1o_activation_no_call,exact,exact,0,0,unchanged
argument_hints_v2,h1o_activation_status_badge_email_decoy,h1o_activation_no_call,exact,exact,0,0,unchanged
argument_hints_v2,h1o_activation_warning_tile_no_call_decoy,h1o_activation_no_call,exact,exact,0,0,unchanged
argument_hints_v2,h1o_code_alert_s92_negated_toggle_decoy,h1o_code_negation_preservation,executable_paraphrase,executable_paraphrase,0,0,unchanged
argument_hints_v2,h1o_code_badge_c08_note_decoy,h1o_code_negation_preservation,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,h1o_code_field_u17_old_selection_decoy,h1o_code_negation_preservation,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,h1o_code_node_j44_table_decoy,h1o_code_negation_preservation,exact,exact,0,0,unchanged
argument_hints_v2,h1o_component_phase_tile_value_decoy,h1o_component_value_boundary,argument_mismatch,argument_mismatch,0,0,unchanged
argument_hints_v2,h1o_component_priority_chip_value_decoy,h1o_component_value_boundary,no_tool_call,exact,1,1,strict_gain
argument_hints_v2,h1o_component_result_badge_value_decoy,h1o_component_value_boundary,argument_mismatch,exact,1,1,strict_gain
argument_hints_v2,h1o_component_state_pill_value_decoy,h1o_component_value_boundary,argument_mismatch,no_tool_call,0,0,unchanged
hybrid_label_guard_v8,h1o_activation_error_banner_previous_region_decoy,h1o_activation_no_call,exact,exact,0,0,unchanged
hybrid_label_guard_v8,h1o_activation_owner_field_stale_selection_decoy,h1o_activation_no_call,exact,exact,0,0,unchanged
hybrid_label_guard_v8,h1o_activation_status_badge_email_decoy,h1o_activation_no_call,exact,exact,0,0,unchanged
hybrid_label_guard_v8,h1o_activation_warning_tile_no_call_decoy,h1o_activation_no_call,exact,exact,0,0,unchanged
hybrid_label_guard_v8,h1o_code_alert_s92_negated_toggle_decoy,h1o_code_negation_preservation,executable_paraphrase,exact,1,0,strict_gain
hybrid_label_guard_v8,h1o_code_badge_c08_note_decoy,h1o_code_negation_preservation,no_tool_call,executable_paraphrase,0,1,executor_gain_without_strict
hybrid_label_guard_v8,h1o_code_field_u17_old_selection_decoy,h1o_code_negation_preservation,no_tool_call,exact,1,1,strict_gain
hybrid_label_guard_v8,h1o_code_node_j44_table_decoy,h1o_code_negation_preservation,exact,exact,0,0,unchanged
hybrid_label_guard_v8,h1o_component_phase_tile_value_decoy,h1o_component_value_boundary,argument_mismatch,exact,1,1,strict_gain
hybrid_label_guard_v8,h1o_component_priority_chip_value_decoy,h1o_component_value_boundary,no_tool_call,argument_mismatch,0,0,unchanged
hybrid_label_guard_v8,h1o_component_result_badge_value_decoy,h1o_component_value_boundary,argument_mismatch,argument_mismatch,0,0,unchanged
hybrid_label_guard_v8,h1o_component_state_pill_value_decoy,h1o_component_value_boundary,argument_mismatch,executable_paraphrase,0,1,executor_gain_without_strict
no_call_control_rescue_v10,h1o_activation_error_banner_previous_region_decoy,h1o_activation_no_call,exact,no_tool_call,-1,-1,regression
no_call_control_rescue_v10,h1o_activation_owner_field_stale_selection_decoy,h1o_activation_no_call,exact,exact,0,0,unchanged
no_call_control_rescue_v10,h1o_activation_status_badge_email_decoy,h1o_activation_no_call,exact,exact,0,0,unchanged
no_call_control_rescue_v10,h1o_activation_warning_tile_no_call_decoy,h1o_activation_no_call,exact,exact,0,0,unchanged
