run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,arg_exact,avoidable_retries,final_state_match,hallucinated_tool_rate,interface_reliability_score,malformed_call_rate,recovery_correct,steps_taken,success,tool_exact
20260408T164126Z_modular_agent_001_budget_compare_agent_001_budget_compare_clean,agent_001_budget_compare,agent_001_budget_compare_clean,full_stack,modular,heuristic,False,,,,,0.0,0.0,2,1.0,0.0,0.2,1.0,0.0,2,0.0,0.0
20260408T164126Z_modular_agent_001_budget_compare_agent_001_budget_compare_language_fr,agent_001_budget_compare,agent_001_budget_compare_language_fr,full_stack,modular,heuristic,False,fr,,,,0.0,0.0,2,1.0,0.0,0.2,1.0,0.0,2,0.0,0.0
20260408T164126Z_modular_agent_001_budget_compare_agent_001_budget_compare_schema_validator_feedback,agent_001_budget_compare,agent_001_budget_compare_schema_validator_feedback,full_stack,modular,heuristic,False,,validator_feedback,,,0.0,0.0,2,1.0,0.0,0.2,1.0,0.0,2,0.0,0.0
20260408T164126Z_modular_agent_001_budget_compare_agent_001_budget_compare_context_changed_constraint,agent_001_budget_compare,agent_001_budget_compare_context_changed_constraint,full_stack,modular,heuristic,False,,,changed_constraint,,0.0,0.0,2,1.0,0.0,0.2,1.0,0.0,2,0.0,0.0
20260408T164126Z_modular_agent_001_budget_compare_agent_001_budget_compare_efficiency_truncation_compact,agent_001_budget_compare,agent_001_budget_compare_efficiency_truncation_compact,full_stack,modular,heuristic,False,,,,truncation_compact,0.0,0.0,2,1.0,0.0,0.2,1.0,0.0,2,0.0,0.0
20260408T164126Z_modular_agent_001_budget_compare_agent_001_budget_compare_crossed,agent_001_budget_compare,agent_001_budget_compare_crossed,full_stack,modular,heuristic,False,fr,,changed_constraint,truncation_compact,0.0,0.0,2,1.0,0.0,0.2,1.0,0.0,2,0.0,0.0
20260408T164126Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_clean,agent_002_reschedule_sarah,agent_002_reschedule_sarah_clean,full_stack,modular,heuristic,False,,,,,0.0,0.0,2,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0
20260408T164126Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_language_fr,agent_002_reschedule_sarah,agent_002_reschedule_sarah_language_fr,full_stack,modular,heuristic,False,fr,,,,0.0,0.0,2,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0
20260408T164126Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_schema_validator_feedback,agent_002_reschedule_sarah,agent_002_reschedule_sarah_schema_validator_feedback,full_stack,modular,heuristic,False,,validator_feedback,,,0.0,0.0,2,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0
20260408T164126Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_context_changed_constraint,agent_002_reschedule_sarah,agent_002_reschedule_sarah_context_changed_constraint,full_stack,modular,heuristic,False,,,changed_constraint,,0.0,0.0,2,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0
