case_id,family,source_failure_mode,replay_failure_mode,replay_exact_match,replay_executable_match,replay_executor_equivalence_match,expected_call_count,replay_actual_call_count,output_dir
h2f_alert_t47_negated_switch_decoy,h2f_route_code_label,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h2f_route_arbitration_h2e_execute_v1/runs/h2f_alert_t47_negated_switch_decoy
h2f_badge_m31_summary_value_decoy,h2f_route_code_label,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h2f_route_arbitration_h2e_execute_v1/runs/h2f_badge_m31_summary_value_decoy
h2f_result_tile_comment_value_decoy,h2f_route_component_class_transfer,argument_alias_or_decoy_risk,argument_mismatch,False,False,False,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h2f_route_arbitration_h2e_execute_v1/runs/h2f_result_tile_comment_value_decoy
h2f_resolution_badge_log_result_decoy,h2f_route_component_class_transfer,argument_alias_or_decoy_risk,argument_mismatch,False,False,False,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h2f_route_arbitration_h2e_execute_v1/runs/h2f_resolution_badge_log_result_decoy
h2f_state_marker_history_value_decoy,h2f_route_nonstandard_class,argument_alias_or_decoy_risk,argument_mismatch,False,False,False,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h2f_route_arbitration_h2e_execute_v1/runs/h2f_state_marker_history_value_decoy
h2f_mode_switch_note_value_decoy,h2f_route_nonstandard_class,argument_alias_or_decoy_risk,argument_mismatch,False,False,False,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h2f_route_arbitration_h2e_execute_v1/runs/h2f_mode_switch_note_value_decoy
h2f_owner_field_previous_memo_decoy,h2f_route_stale_field,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h2f_route_arbitration_h2e_execute_v1/runs/h2f_owner_field_previous_memo_decoy
h2f_reviewer_field_saved_summary_decoy,h2f_route_stale_field,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h2f_route_arbitration_h2e_execute_v1/runs/h2f_reviewer_field_saved_summary_decoy
h2f_warning_panel_note_activation_decoy,h2f_activation_panel_notice,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h2f_route_arbitration_h2e_execute_v1/runs/h2f_warning_panel_note_activation_decoy
h2f_error_notice_history_activation_decoy,h2f_activation_panel_notice,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260510T_h2f_route_arbitration_h2e_execute_v1/runs/h2f_error_notice_history_activation_decoy
