case_id,family,source_failure_mode,replay_failure_mode,replay_exact_match,replay_executable_match,replay_executor_equivalence_match,expected_call_count,replay_actual_call_count,output_dir
h1p_compact_status_pill_summary_value_decoy,h1p_component_value_compact,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h1p_execute_v1/runs/h1p_compact_status_pill_summary_value_decoy
h1p_compact_queue_badge_table_value_decoy,h1p_component_value_compact,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h1p_execute_v1/runs/h1p_compact_queue_badge_table_value_decoy
h1p_compact_stage_chip_email_value_decoy,h1p_component_value_compact,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h1p_execute_v1/runs/h1p_compact_stage_chip_email_value_decoy
h1p_compact_state_tag_log_value_decoy,h1p_component_value_compact,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h1p_execute_v1/runs/h1p_compact_state_tag_log_value_decoy
h1p_surface_owner_field_note_value_decoy,h1p_component_value_surface,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h1p_execute_v1/runs/h1p_surface_owner_field_note_value_decoy
h1p_surface_mode_toggle_note_value_decoy,h1p_component_value_surface,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h1p_execute_v1/runs/h1p_surface_mode_toggle_note_value_decoy
h1p_surface_lane_tile_board_value_decoy,h1p_component_value_surface,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h1p_execute_v1/runs/h1p_surface_lane_tile_board_value_decoy
h1p_surface_result_badge_comment_value_decoy,h1p_component_value_surface,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h1p_execute_v1/runs/h1p_surface_result_badge_comment_value_decoy
h1p_stale_priority_chip_old_selection_decoy,h1p_component_value_stale_selection,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h1p_execute_v1/runs/h1p_stale_priority_chip_old_selection_decoy
h1p_stale_severity_pill_previous_region_decoy,h1p_component_value_stale_selection,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h1p_execute_v1/runs/h1p_stale_severity_pill_previous_region_decoy
h1p_stale_phase_tile_archive_decoy,h1p_component_value_stale_selection,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h1p_execute_v1/runs/h1p_stale_phase_tile_archive_decoy
h1p_stale_risk_badge_old_selection_decoy,h1p_component_value_stale_selection,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h1p_execute_v1/runs/h1p_stale_risk_badge_old_selection_decoy
