case_id,family,source_failure_mode,replay_failure_mode,replay_exact_match,replay_executable_match,replay_executor_equivalence_match,expected_call_count,replay_actual_call_count,output_dir
h2s_review_tile_waiting_chip_note_decoys,h2s_surface_alias_same_value_decoy,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h2s_execute_v1/runs/h2s_review_tile_waiting_chip_note_decoys
h2s_signal_panel_green_tag_marker_decoys,h2s_surface_alias_same_value_decoy,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h2s_execute_v1/runs/h2s_signal_panel_green_tag_marker_decoys
h2s_severity_pill_critical_archived_badge_decoy,h2s_value_bearing_stale_decoy,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h2s_execute_v1/runs/h2s_severity_pill_critical_archived_badge_decoy
h2s_reviewer_field_malik_old_owner_decoy,h2s_value_bearing_stale_decoy,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h2s_execute_v1/runs/h2s_reviewer_field_malik_old_owner_decoy
h2s_timeout_exception_notice_banner_log_decoys,h2s_contextual_alias_decoy_overlap,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h2s_execute_v1/runs/h2s_timeout_exception_notice_banner_log_decoys
h2s_delivery_field_paused_toggle_switch_decoys,h2s_contextual_alias_decoy_overlap,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h2s_execute_v1/runs/h2s_delivery_field_paused_toggle_switch_decoys
h2s_result_panel_waiting_stale_selection_hint,h2s_stale_surface_alias,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h2s_execute_v1/runs/h2s_result_panel_waiting_stale_selection_hint
h2s_status_tile_ready_stale_selection_hint,h2s_stale_surface_alias,wrong_tool_or_stale_selection_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h2s_execute_v1/runs/h2s_status_tile_ready_stale_selection_hint
h2s_approval_panel_pending_negated_badge_note,h2s_negated_decoy_guard,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h2s_execute_v1/runs/h2s_approval_panel_pending_negated_badge_note
h2s_status_badge_live_clean_control,h2s_clean_route_control,argument_alias_or_decoy_risk,exact,True,True,True,1,1,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_live/20260519T_h3a_boundary_combined_on_h2s_execute_v1/runs/h2s_status_badge_live_clean_control
