case_id,family,source_failure_mode,source_exact_match,source_executable_match,baseline_exact_match,expected_call_count,source_actual_call_count,case_path
h1o_activation_status_badge_email_decoy,h1o_activation_no_call,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1o_control_factorial_oracle_dry_run_v1/cases/h1o_activation_status_badge_email_decoy.json
h1o_activation_owner_field_stale_selection_decoy,h1o_activation_no_call,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1o_control_factorial_oracle_dry_run_v1/cases/h1o_activation_owner_field_stale_selection_decoy.json
h1o_activation_error_banner_previous_region_decoy,h1o_activation_no_call,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1o_control_factorial_oracle_dry_run_v1/cases/h1o_activation_error_banner_previous_region_decoy.json
h1o_activation_warning_tile_no_call_decoy,h1o_activation_no_call,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1o_control_factorial_oracle_dry_run_v1/cases/h1o_activation_warning_tile_no_call_decoy.json
h1o_code_node_j44_table_decoy,h1o_code_negation_preservation,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1o_control_factorial_oracle_dry_run_v1/cases/h1o_code_node_j44_table_decoy.json
h1o_code_field_u17_old_selection_decoy,h1o_code_negation_preservation,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1o_control_factorial_oracle_dry_run_v1/cases/h1o_code_field_u17_old_selection_decoy.json
h1o_code_alert_s92_negated_toggle_decoy,h1o_code_negation_preservation,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1o_control_factorial_oracle_dry_run_v1/cases/h1o_code_alert_s92_negated_toggle_decoy.json
h1o_code_badge_c08_note_decoy,h1o_code_negation_preservation,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1o_control_factorial_oracle_dry_run_v1/cases/h1o_code_badge_c08_note_decoy.json
h1o_component_state_pill_value_decoy,h1o_component_value_boundary,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1o_control_factorial_oracle_dry_run_v1/cases/h1o_component_state_pill_value_decoy.json
h1o_component_priority_chip_value_decoy,h1o_component_value_boundary,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1o_control_factorial_oracle_dry_run_v1/cases/h1o_component_priority_chip_value_decoy.json
h1o_component_result_badge_value_decoy,h1o_component_value_boundary,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1o_control_factorial_oracle_dry_run_v1/cases/h1o_component_result_badge_value_decoy.json
h1o_component_phase_tile_value_decoy,h1o_component_value_boundary,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1o_control_factorial_oracle_dry_run_v1/cases/h1o_component_phase_tile_value_decoy.json
