case_id,family,source_failure_mode,source_exact_match,source_executable_match,baseline_exact_match,expected_call_count,source_actual_call_count,case_path
h1y_responsible_party_field_old_owner_memo_decoy,h1y_route_stale_field,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1y_routed_residual_oracle_dry_run_v1/cases/h1y_responsible_party_field_old_owner_memo_decoy.json
h1y_escalation_contact_field_saved_summary_decoy,h1y_route_stale_field,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1y_routed_residual_oracle_dry_run_v1/cases/h1y_escalation_contact_field_saved_summary_decoy.json
h1y_review_owner_field_previous_table_decoy,h1y_route_stale_field,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1y_routed_residual_oracle_dry_run_v1/cases/h1y_review_owner_field_previous_table_decoy.json
h1y_lifecycle_state_tag_audit_value_decoy,h1y_route_nonstandard_class,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1y_routed_residual_oracle_dry_run_v1/cases/h1y_lifecycle_state_tag_audit_value_decoy.json
h1y_operation_mode_toggle_note_value_decoy,h1y_route_nonstandard_class,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1y_routed_residual_oracle_dry_run_v1/cases/h1y_operation_mode_toggle_note_value_decoy.json
h1y_alert_s92_negated_toggle_decoy,h1y_route_code_label,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1y_routed_residual_oracle_dry_run_v1/cases/h1y_alert_s92_negated_toggle_decoy.json
h1y_badge_c08_table_value_decoy,h1y_route_code_label,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1y_routed_residual_oracle_dry_run_v1/cases/h1y_badge_c08_table_value_decoy.json
h1y_status_pill_summary_value_holdout,h1y_preserve_surface_value,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1y_routed_residual_oracle_dry_run_v1/cases/h1y_status_pill_summary_value_holdout.json
h1y_result_badge_comment_value_holdout,h1y_preserve_surface_value,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1y_routed_residual_oracle_dry_run_v1/cases/h1y_result_badge_comment_value_holdout.json
h1y_warning_tile_note_activation_decoy,h1y_activation_no_call,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h1y_routed_residual_oracle_dry_run_v1/cases/h1y_warning_tile_note_activation_decoy.json
