case_id,family,source_failure_mode,source_exact_match,source_executable_match,baseline_exact_match,expected_call_count,source_actual_call_count,case_path
h2f_alert_t47_negated_switch_decoy,h2f_route_code_label,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h2f_route_arbitration_oracle_dry_run_v1/cases/h2f_alert_t47_negated_switch_decoy.json
h2f_badge_m31_summary_value_decoy,h2f_route_code_label,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h2f_route_arbitration_oracle_dry_run_v1/cases/h2f_badge_m31_summary_value_decoy.json
h2f_result_tile_comment_value_decoy,h2f_route_component_class_transfer,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h2f_route_arbitration_oracle_dry_run_v1/cases/h2f_result_tile_comment_value_decoy.json
h2f_resolution_badge_log_result_decoy,h2f_route_component_class_transfer,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h2f_route_arbitration_oracle_dry_run_v1/cases/h2f_resolution_badge_log_result_decoy.json
h2f_state_marker_history_value_decoy,h2f_route_nonstandard_class,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h2f_route_arbitration_oracle_dry_run_v1/cases/h2f_state_marker_history_value_decoy.json
h2f_mode_switch_note_value_decoy,h2f_route_nonstandard_class,argument_alias_or_decoy_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h2f_route_arbitration_oracle_dry_run_v1/cases/h2f_mode_switch_note_value_decoy.json
h2f_owner_field_previous_memo_decoy,h2f_route_stale_field,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h2f_route_arbitration_oracle_dry_run_v1/cases/h2f_owner_field_previous_memo_decoy.json
h2f_reviewer_field_saved_summary_decoy,h2f_route_stale_field,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h2f_route_arbitration_oracle_dry_run_v1/cases/h2f_reviewer_field_saved_summary_decoy.json
h2f_warning_panel_note_activation_decoy,h2f_activation_panel_notice,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h2f_route_arbitration_oracle_dry_run_v1/cases/h2f_warning_panel_note_activation_decoy.json
h2f_error_notice_history_activation_decoy,h2f_activation_panel_notice,wrong_tool_or_stale_selection_risk,False,False,,1,,/Users/cheickdiakite/Codex/moonie/results/tool_probe_replay_packets/20260510T_h2f_route_arbitration_oracle_dry_run_v1/cases/h2f_error_notice_history_activation_decoy.json
